dataset,feature_set,window_type,window_size,stride,protocol,model_family,model,fold,test_subject,seed,n_samples,total_sec,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
pamap2,acc16_hr,overlapping,128,64,loso,baselines,random_forest,aggregate,aggregate,42,30199,,0.8529090367230703,0.8491303699462157,0.8506025434252518,0.8528967977621266,0.8550408217869901,0.8491303699462157
pamap2,acc16_hr,overlapping,128,64,loso,baselines,knn_k5,aggregate,aggregate,42,30199,,0.8230404980297361,0.8101267540415811,0.8221990226076247,0.8228724141473156,0.8421672796711767,0.8101267540415811
