result_set,feature_set,protocol,family,model,activity_group,support,recall
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_res,household,6446,0.8855103940428173
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_res,jump,753,0.848605577689243
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_res,locomotion,10734,0.8994782932737098
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_res,posture,8763,0.9570923199817414
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_res,stairs,3422,0.9035651665692578
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,household,1331,0.9917355371900827
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,jump,153,1.0
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,2062,0.992725509214355
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,posture,1781,0.9966311061201573
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,stairs,697,0.9870875179340028
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_res,household,1331,0.9887302779864763
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_res,jump,153,0.9869281045751634
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_res,locomotion,2062,0.991270611057226
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_res,posture,1781,0.9966311061201573
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_res,stairs,697,0.9827833572453372
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,household,6446,0.9197952218430034
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,jump,753,0.9030544488711819
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,10734,0.8955654928265325
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,posture,8763,0.9169234280497547
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,stairs,3422,0.9193454120397428
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_res,household,6446,0.9137449581135588
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_res,jump,753,0.8764940239043825
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_res,locomotion,10734,0.9228619340413639
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_res,posture,8763,0.952413557001027
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_res,stairs,3422,0.9228521332554062
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,household,1331,0.990984222389181
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,jump,153,1.0
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,2062,0.9980601357904947
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,posture,1781,0.99606962380685
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,stairs,697,0.9956958393113343
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_res,household,1331,0.990984222389181
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_res,jump,153,1.0
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_res,locomotion,2062,0.9946653734238603
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_res,posture,1781,0.99606962380685
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_res,stairs,697,0.9928263988522238
canonical_protocol_only_v3,acc16_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,household,6446,0.8762022959975179
