dataset,feature_set,protocol,family,model,fold,test_subject,perturbation,severity,status,clean_accuracy,perturbed_accuracy,accuracy_drop,clean_macro_f1,perturbed_macro_f1,macro_f1_drop,most_affected_class,n_eval_samples,checkpoint_path
pamap2,acc16_hr,loso,baseline,random_forest,5,105,gaussian_noise,high,ok,0.8954202077431539,0.8661473087818697,0.029272898961284155,0.8884028337631401,0.8566137045074718,0.03178912925566835,standing,4236.0,
pamap2,acc16_hr,loso,baseline,random_forest,6,106,gaussian_noise,high,ok,0.853357344996141,0.8067918703370208,0.0465654746591202,0.7744691234662614,0.7406881237722319,0.03378099969402948,ironing,3887.0,
pamap2,acc16_hr,loso,baseline,random_forest,7,107,gaussian_noise,high,ok,0.8869228642521426,0.87641692009953,0.010505944152612634,0.8032710039486037,0.8601614673227502,-0.056890463374146494,ironing,3617.0,
pamap2,acc16_hr,loso,baseline,random_forest,8,108,gaussian_noise,high,ok,0.9259077526987243,0.8878802747791953,0.038027477919528985,0.9091272800276397,0.8793023205669218,0.029824959460717837,ironing,4076.0,
pamap2,acc16_hr,loso,baseline,random_forest,9,109,gaussian_noise,high,ok,0.826530612244898,0.826530612244898,0.0,0.18100558659217877,0.18100558659217877,0.0,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,random_forest,aggregate,aggregate,gaussian_noise,high,ok,0.8529090367230703,0.7758203914036889,0.07708864531938142,0.8506025434252518,0.7885940901723574,0.06200845325289439,ironing,30199.0,
pamap2,acc16_hr,loso,baseline,random_forest,1,101,random_channel_dropout,low,ok,0.7746587689930466,0.7612670615503476,0.013391707442699019,0.7568456652632939,0.7438353603930971,0.013010304870196832,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,random_forest,2,102,random_channel_dropout,low,ok,0.8241758241758241,0.6822954822954823,0.14188034188034182,0.8091207946905379,0.6705269159448308,0.13859387874570706,standing,4095.0,
pamap2,acc16_hr,loso,baseline,random_forest,3,103,random_channel_dropout,low,ok,0.9110044313146234,0.8877400295420975,0.023264401772525867,0.7252591375176795,0.6447505438817419,0.08050859363593754,standing,2708.0,
pamap2,acc16_hr,loso,baseline,random_forest,4,104,random_channel_dropout,low,ok,0.7596554598499583,0.7813281467074187,-0.021672686857460377,0.6274965458620146,0.638362939200741,-0.01086639333872641,ironing,3599.0,
pamap2,acc16_hr,loso,baseline,random_forest,5,105,random_channel_dropout,low,ok,0.8954202077431539,0.8737016052880076,0.02171860245514634,0.8884028337631401,0.8631167370569237,0.0252860967062164,walking,4236.0,
pamap2,acc16_hr,loso,baseline,random_forest,6,106,random_channel_dropout,low,ok,0.853357344996141,0.8168253151530743,0.03653202984306669,0.7744691234662614,0.7345949652072888,0.03987415825897256,walking,3887.0,
pamap2,acc16_hr,loso,baseline,random_forest,7,107,random_channel_dropout,low,ok,0.8869228642521426,0.8175283384019906,0.06939452585015204,0.8032710039486037,0.7453100088804986,0.05796099506810515,ironing,3617.0,
