result_set,feature_set,family,model,test_subject,n_test_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_attn_adj_resbn,101,12.0,0.8332472896231286,0.8242750379655862,0.8215466805647936,0.8280572787033119
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_attn_adj_resbn,102,12.0,0.8702887909936368,0.8510513061977512,0.8347721855828397,0.8551470058875504
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_attn_adj_resbn,103,8.0,0.9299740644683216,0.9267432161663504,0.6209244396168776,0.9314575131647906
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_attn_adj_resbn,104,10.0,0.9317548746518106,0.9303396749803898,0.7752564539537525,0.9325129506724348
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_attn_adj_resbn,105,12.0,0.9079725573692926,0.9106892032163164,0.9100434676029656,0.908977003576877
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_attn_adj_resbn,106,12.0,0.9167096441464672,0.8406053552823387,0.8375798242153593,0.9163210585098004
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_attn_adj_resbn,107,11.0,0.9578713968957872,0.942317359161078,0.8659898142412622,0.958384693406722
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_attn_adj_resbn,108,12.0,0.7046963363658717,0.7400578000726732,0.7177220962139385,0.6902321556655582
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_attn_adj_resbn,109,1.0,0.9775280898876404,0.9775280898876404,0.0823863636363636,0.9886363636363636
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_res,101,12.0,0.8913267940113577,0.8935461639493255,0.8990617542984789,0.89371072278298
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_res,102,12.0,0.8788546255506607,0.8736657373191915,0.8691868299643618,0.8762047698796204
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_res,103,8.0,0.8918117821415339,0.8915571097864328,0.5967264097769615,0.8936459561306618
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_res,104,10.0,0.9434540389972144,0.94182379169744,0.7868631385601489,0.944272754645344
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_res,105,12.0,0.9188549798911758,0.9144726578237096,0.9189253507815563,0.9196332401564756
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_res,106,12.0,0.890149561629706,0.8176832190403974,0.8159209844836056,0.8905348475536569
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_res,107,11.0,0.9675720620842572,0.9465499005804596,0.8780658031420164,0.9673049089453156
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_res,108,12.0,0.6016719940988443,0.6002506233795282,0.5077731126045331,0.5608569125128835
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_res,109,1.0,0.6404494382022472,0.6404494382022472,0.0650684931506849,0.7808219178082192
canonical_protocol_only,acc16_gyro,baseline,knn_k5,101,,0.8168941540046356,0.8094151619034564,0.8153375301316013,0.8170702074455686
canonical_protocol_only,acc16_gyro,baseline,knn_k5,102,,0.7978021978021979,0.8076987150683782,0.8111030644132634,0.7879678395538589
canonical_protocol_only,acc16_gyro,baseline,knn_k5,103,,0.7998522895125554,0.7992346770523842,0.5359833174926671,0.8092091877003437
canonical_protocol_only,acc16_gyro,baseline,knn_k5,104,,0.8291191997777161,0.8239843553207346,0.6921957286462197,0.8294228795858806
canonical_protocol_only,acc16_gyro,baseline,knn_k5,105,,0.8312086874409821,0.8231457969094492,0.8311406548569704,0.8329709319423367
canonical_protocol_only,acc16_gyro,baseline,knn_k5,106,,0.84178029328531,0.771582515345948,0.7711391135081334,0.8432582281039404
canonical_protocol_only,acc16_gyro,baseline,knn_k5,107,,0.8744816145977329,0.8573567808246085,0.793976857616542,0.876266796738185
canonical_protocol_only,acc16_gyro,baseline,knn_k5,108,,0.7632482826300294,0.7509521570377524,0.7594877886027357,0.7611686907299058
canonical_protocol_only,acc16_gyro,baseline,knn_k5,109,,0.5510204081632653,1.0,0.0710526315789473,0.7105263157894737
canonical_protocol_only,acc16_gyro,baseline,random_forest,101,,0.8552665464846768,0.8509108198748595,0.8610762516055921,0.8591003204569839
canonical_protocol_only,acc16_gyro,baseline,random_forest,102,,0.8703296703296703,0.8619189352626074,0.8714352260918306,0.8691852306126311
canonical_protocol_only,acc16_gyro,baseline,random_forest,103,,0.8962333825701625,0.8806257321396316,0.6487422678950355,0.8989235557536843
canonical_protocol_only,acc16_gyro,baseline,random_forest,104,,0.8585718255070853,0.8560916906213121,0.8574875398717389,0.8616871216457173
canonical_protocol_only,acc16_gyro,baseline,random_forest,105,,0.8862134088762984,0.8800086634581622,0.8886240322196137,0.8882777463822485
canonical_protocol_only,acc16_gyro,baseline,random_forest,106,,0.8646771288911758,0.7896264508486505,0.7884887778874168,0.8669434256018405
canonical_protocol_only,acc16_gyro,baseline,random_forest,107,,0.9189936411390656,0.8971381878542437,0.909996453543108,0.9193676005520444
canonical_protocol_only,acc16_gyro,baseline,random_forest,108,,0.9131501472031404,0.8913539850459907,0.9043654121577318,0.9150558959340328
canonical_protocol_only,acc16_gyro,baseline,random_forest,109,,0.8469387755102041,1.0,0.1834254143646408,0.9171270718232044
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_attn_adj_resbn,101,12.0,0.8002065049044915,0.810062288991067,0.8025930776761966,0.7959131581903688
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_attn_adj_resbn,102,12.0,0.8859520313264807,0.8709638163542545,0.8704405799931143,0.8830150962773339
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_attn_adj_resbn,103,8.0,0.9466469062615784,0.9426055071375734,0.6306969630037533,0.9473630634300164
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_attn_adj_resbn,104,10.0,0.8676880222841226,0.8734260926202708,0.7045032235378237,0.8493754842593271
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_attn_adj_resbn,105,12.0,0.9134137686302342,0.9128070195278618,0.910240841195728,0.9126339620181732
