dataset,eval_protocol,model,subject,n_predictions,n_true_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,dominant_confusion
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,109,89,1,0.9775280898876404,0.9775280898876404,0.08238636363636363,0.9886363636363636,0.08333333333333333,0.08146067415730336,24->5 (2)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,103,2699,8,0.9299740644683216,0.9267432161663505,0.6209244396168776,0.9314575131647906,0.6262451841845176,0.6178288107775669,17->3 (33)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,108,4067,12,0.7046963363658717,0.7400578000726732,0.7177220962139385,0.6902321556655582,0.7824474839980936,0.7400578000726732,7->2 (443)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,104,3590,10,0.9317548746518106,0.9303396749803898,0.7752564539537525,0.9325129506724348,0.7780441043520908,0.7752830624836582,3->2 (80)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,101,3874,12,0.8332472896231286,0.8242750379655862,0.8215466805647936,0.8280572787033119,0.8648818461587041,0.8242750379655862,13->12 (128)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,102,4086,12,0.8702887909936368,0.8510513061977512,0.8347721855828397,0.8551470058875504,0.8761088409902967,0.8510513061977512,13->6 (94)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,106,3878,12,0.9167096441464673,0.8406053552823387,0.8375798242153593,0.9163210585098004,0.8364103714461363,0.8406053552823387,3->2 (60)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,107,3608,11,0.9578713968957872,0.942317359161078,0.8659898142412622,0.9583846934067219,0.8741806971421638,0.8637909125643214,16->2 (48)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,105,4227,12,0.9079725573692926,0.9106892032163163,0.9100434676029655,0.908977003576877,0.9106507382858801,0.9106892032163163,2->3 (98)
