epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.6551511011261871,0.3633761994856639,0.7834924001413928,0.9024390243902439,0.7547673726074365,0.795948446378964
2,0.24706399095494572,0.45797569260577836,0.930496641922941,0.8553215077605322,0.9258593509182518,0.7671820252621612
3,0.19650118872417963,0.2712423310956108,0.9476405090137858,0.9340354767184036,0.9457249541508533,0.8430105831876104
4,0.17179707965404376,0.15384166147350797,0.9523241428066455,0.958980044345898,0.9499159490365904,0.8633395547443551
5,0.1551544351727771,0.2045848031982985,0.9555054789678331,0.9368070953436807,0.9524646506871601,0.8404792840820767
6,0.14148022913920158,0.30922223868048176,0.9605425945563804,0.9312638580931264,0.9583097943926635,0.8357961899327582
7,0.13955103871061972,0.20589243825812856,0.9612053729232944,0.9512195121951219,0.9593754778153554,0.8569014610725004
8,0.1343991878660071,0.2396312371890645,0.9616472251679039,0.9467849223946785,0.9603050627745541,0.8528754967603801
9,0.12293824429313342,0.1441873596715813,0.964519264757865,0.9648004434589801,0.9623486527578712,0.8676393349429664
10,0.11312375375826521,0.4220196930968925,0.9673471191233651,0.9096452328159645,0.9660059067150045,0.8041711654880622
11,0.10613778634113712,0.20040813642782912,0.9688052315305762,0.958980044345898,0.9671068344867572,0.8636196192704532
12,0.10592887938857479,0.20223274128219543,0.9703075291622482,0.9556541019955654,0.9690172827484073,0.8613258927085843
13,0.09888579204386201,0.28584253507047236,0.971147048427006,0.9440133037694013,0.9702393256919764,0.850156464339732
14,0.09412922040205784,0.3451270386272224,0.971898197242842,0.938470066518847,0.9707826757869545,0.8447855374063749
15,0.09054688570580484,0.38728143409726484,0.9724726051608342,0.926829268292683,0.9705821199603858,0.8218377611467417
16,0.06416187494217601,0.2598921509427171,0.9803817603393425,0.947339246119734,0.9795397763663046,0.850115410614153
17,0.05883743568791354,0.2523263730807375,0.9817956875220926,0.9429046563192904,0.981160544679543,0.8449257596564408
