epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,1.1690393938189996,1.1134103479196262,0.6535204821115265,0.6737058975019315,0.5558748095847784,0.6216219974823564
2,0.6043330818830724,1.0349176303569172,0.8433518956442139,0.7522534123100695,0.7926067966921155,0.7531357645856788
3,0.48020618641319207,0.9915047877789802,0.8788999923716531,0.7604944630440381,0.8704577454303043,0.762601375718532
4,0.4177050835885848,0.9568679739569776,0.898047143184072,0.7453000257532836,0.895162081170689,0.7377854165800581
5,0.36736929404380003,1.263059344548495,0.9092226714470975,0.7107906258047901,0.9084081997872878,0.6885463836796147
6,0.32953404971828304,1.2462298454778682,0.916011900221222,0.7301055884625289,0.9156203613725894,0.7144770775813417
7,0.2991595364870055,1.035547996078002,0.9218475856281944,0.758949266031419,0.9210940213038938,0.753737251038587
8,0.27858541548611304,1.1739751407665546,0.9275688458311084,0.758949266031419,0.925979790126538,0.7605036717059485
9,0.2659446559087646,1.1088488229384688,0.9297810664429018,0.7556013391707442,0.9285143754234824,0.7392410404581783
10,0.24319730777722837,1.5215501877086628,0.9342055076664887,0.7324233839814577,0.9331636085007053,0.7095767655566333
11,0.2090868043691745,1.3910967118639002,0.9422915554199405,0.7581766675251095,0.9401858414908312,0.7362704344164018
