dataset,eval_protocol,model,subject,n_predictions,n_true_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,dominant_confusion
pamap2,loso,improved_gnn_lstm_res,109,89,1,0.6404494382022472,0.6404494382022472,0.06506849315068493,0.7808219178082192,0.08333333333333333,0.05337078651685393,24->5 (32)
pamap2,loso,improved_gnn_lstm_res,108,4067,12,0.6016719940988443,0.6002506233795282,0.5077731126045331,0.5608569125128835,0.5537053754586233,0.6002506233795282,7->13 (438)
pamap2,loso,improved_gnn_lstm_res,103,2699,8,0.8918117821415339,0.8915571097864328,0.5967264097769615,0.8936459561306618,0.603107078274745,0.5943714065242885,2->1 (88)
pamap2,loso,improved_gnn_lstm_res,104,3590,10,0.9434540389972145,0.94182379169744,0.7868631385601489,0.944272754645344,0.7928502155625453,0.7848531597478666,3->2 (93)
pamap2,loso,improved_gnn_lstm_res,106,3878,12,0.890149561629706,0.8176832190403974,0.8159209844836056,0.8905348475536569,0.817387137144226,0.8176832190403974,2->3 (119)
pamap2,loso,improved_gnn_lstm_res,102,4086,12,0.8788546255506607,0.8736657373191915,0.8691868299643618,0.8762047698796204,0.8890725362074727,0.8736657373191915,2->17 (91)
pamap2,loso,improved_gnn_lstm_res,107,3608,11,0.9675720620842572,0.9465499005804595,0.8780658031420164,0.9673049089453156,0.8916154097317016,0.8676707421987545,16->17 (28)
pamap2,loso,improved_gnn_lstm_res,101,3874,12,0.8913267940113577,0.8935461639493255,0.8990617542984789,0.89371072278298,0.9107775617274075,0.8935461639493255,2->3 (85)
pamap2,loso,improved_gnn_lstm_res,105,4227,12,0.9188549798911758,0.9144726578237096,0.9189253507815565,0.9196332401564756,0.9261138801724078,0.9144726578237096,2->3 (95)
