dataset,feature_set,window_type,task,sessions,variant_name,eval_protocol,model,eval_unit,fold,fold_subject,test_subject,validation_subject,n_train_windows,n_val_windows,n_test_windows,n_test_windows_raw,n_train_eval_samples,n_val_eval_samples,n_test_eval_samples,n_test_predictions,n_test_classes,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,standardize_input,class_balanced_loss,label_smoothing,lr,optimizer,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,artifact_dir
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,11903857,11903857,0,45.409610748291016,False,False,0.0,0.0003,adam,0.0,0.8002065049044915,0.810062288991067,0.8025930776761966,0.7959131581903688,0.8145692311256695,0.810062288991067,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,11903857,11903857,0,45.409610748291016,False,False,0.0,0.0003,adam,0.0,0.8859520313264807,0.8709638163542545,0.8704405799931143,0.8830150962773339,0.8968384039485727,0.8709638163542545,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,11903857,11903857,0,45.409610748291016,False,False,0.0,0.0003,adam,0.0,0.9466469062615784,0.9426055071375734,0.6306969630037533,0.9473630634300164,0.6337588203137444,0.6284036714250489,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,11903857,11903857,0,45.409610748291016,False,False,0.0,0.0003,adam,0.0,0.8676880222841226,0.8734260926202708,0.7045032235378237,0.8493754842593271,0.7516803335311026,0.727855077183559,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,11903857,11903857,0,45.409610748291016,False,False,0.0,0.0003,adam,0.0,0.9134137686302342,0.9128070195278618,0.910240841195728,0.9126339620181732,0.9090963103608716,0.9128070195278618,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,11903857,11903857,0,45.409610748291016,False,False,0.0,0.0003,adam,0.0,0.908457968024755,0.8385558516632529,0.8346784194683452,0.9104219543041016,0.8453759292514093,0.8385558516632529,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,7,107,107,108,22506,4076,3617,3617,22443,4067,3608,3608,11,11903857,11903857,0,45.409610748291016,False,False,0.0,0.0003,adam,0.0,0.9553769401330376,0.9382448513593404,0.8639608979422548,0.9557449985145788,0.8737978836637641,0.8600577804127288,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,8,108,108,109,26025,98,4076,4076,25962,89,4067,4067,12,11903857,11903857,0,45.409610748291016,False,False,0.0,0.0003,adam,0.0,0.7516597000245882,0.7446779811032259,0.6783385661916101,0.7090530461331246,0.7547287932712533,0.7446779811032259,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,9,109,109,101,26218,3883,98,98,26155,3874,89,89,1,11903857,11903857,0,45.409610748291016,False,False,0.0,0.0003,adam,0.0,1.0,1.0,0.0833333333333333,1.0,0.0833333333333333,0.0833333333333333,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_res,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,11903373,11903373,0,45.40776443481445,False,False,0.0,0.0003,adam,0.0,0.8709344346928239,0.8690050991545695,0.8694546239109183,0.8724104085791825,0.8867529733552498,0.8690050991545695,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
