dataset,feature_set,window_type,task,sessions,processed_dataset_dir,variant_name,eval_protocol,model,eval_unit,n_samples,n_eval_samples,n_folds,runtime_sec,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,n_nodes,node_feat_dim,standardize_input,class_balanced_loss,label_smoothing,lr,optimizer,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,subject_macro_accuracy_mean,subject_macro_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std,artifact_dir
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,data\processed\canonical_protocol_only\pamap2\acc16_gyro_hr\overlapping,v3_residual_arch,loso,improved_gnn_lstm_res,sequence,30118,30118,9,3609.9928045272823,11903373,11903373,0,45.40776443481445,22,23,False,False,0.0,0.0003,adam,0.0,0.8757885649777541,0.8787535315312064,0.8756701946545915,0.8775399800961798,0.8760963478511027,0.8787535315312064,0.8926854373908095,0.0729069373892039,0.7158119659884215,0.2519898346941749,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,data\processed\canonical_protocol_only\pamap2\acc16_gyro_hr\overlapping,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,30118,30118,9,4022.40500497818,11903857,11903857,0,45.409610748291016,22,23,False,False,0.0,0.0003,adam,0.0,0.8754565376186998,0.8716457644257302,0.8647247184297258,0.8766126727119632,0.8661248222529024,0.8716457644257302,0.8921557601765877,0.0775767462553364,0.7087539891491288,0.2533965492671547,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
