dataset,eval_protocol,model,subject,n_predictions,n_true_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,dominant_confusion
pamap2,loso,lstm,109,98,1,0.5306122448979592,0.5306122448979592,0.05777777777777778,0.6933333333333334,0.08333333333333333,0.04421768707482993,24->5 (32)
pamap2,loso,lstm,108,4076,12,0.4396467124631992,0.46486185593386975,0.408632256396325,0.4103402578752596,0.5106328323719295,0.46486185593386975,4->13 (481)
pamap2,loso,lstm,101,3883,12,0.5256245171259336,0.5321748108626908,0.4714802639781923,0.46847906366882286,0.4754680738178278,0.5321748108626908,4->7 (275)
pamap2,loso,lstm,104,3599,10,0.6171158655181995,0.6408502976308121,0.49838626035556133,0.5819989428553025,0.5443173711091541,0.5340419146923434,2->17 (341)
pamap2,loso,lstm,102,4095,12,0.5042735042735043,0.5483473938684437,0.5102328257901664,0.47285373648243495,0.61077694560548,0.5483473938684437,4->12 (359)
pamap2,loso,lstm,103,2708,8,0.8245937961595273,0.7823047674508421,0.5340456466724667,0.8326242620316026,0.5755216606036202,0.5215365116338947,12->13 (80)
pamap2,loso,lstm,107,3617,11,0.6768039811998894,0.6358997916697223,0.5382161400957273,0.6335307847607893,0.6036681684654229,0.5829081423639121,17->2 (377)
pamap2,loso,lstm,105,4236,12,0.7825779036827195,0.7376766649383494,0.7396260306124205,0.7794824092338648,0.7617768421294843,0.7376766649383494,16->17 (154)
pamap2,loso,lstm,106,3887,12,0.8546436840751223,0.7819084878763425,0.7767346410966255,0.8584042812686618,0.7797126880277476,0.7819084878763425,3->2 (109)
