epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.5899729470425068,0.6869999951952571,0.8144084600132188,0.8095106441802599,0.8047031761265768,0.7367871399724649
2,0.3228027508788814,0.6572126220915733,0.9007270323859881,0.808957699751175,0.8991504552565149,0.7392767373433377
3,0.2627627969891207,0.603194717049367,0.9198061246970698,0.8526403096488803,0.9194812755119209,0.7769636422565848
4,0.22278967160673283,0.8259864145289795,0.9280898876404494,0.7738457285042853,0.9268777103809263,0.7144998126696328
5,0.20284654260811025,0.7029018358237067,0.9353602115003304,0.8042576721039536,0.9346795217379488,0.7297939620646243
6,0.18295717283830581,0.9617644177760346,0.9413527208636263,0.7511750069118054,0.9401512100515997,0.678461498032759
7,0.1709086552429735,0.724319267428364,0.9446574135272087,0.7865634503732375,0.94344563271035,0.7140343455024217
8,0.16797244921901147,0.743038897112908,0.9447455386649042,0.8023223666021565,0.9436079823302045,0.727079259883824
9,0.1531734785166415,0.6063007505254141,0.9484908570169641,0.8388166989217584,0.9474891914949836,0.7615159838054265
10,0.1177530982947922,0.9704919836325707,0.9606961885877947,0.8020458943876141,0.9595065250056348,0.729970109725386
11,0.10801177445579978,0.8987468350014362,0.963251817580965,0.8072988664639204,0.962393550164963,0.7292894831891394
