dataset,eval_protocol,model,subject,n_predictions,n_true_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,dominant_confusion
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,109,89,1,1.0,1.0,0.08333333333333333,1.0,0.08333333333333333,0.08333333333333333,
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,103,2699,8,0.9466469062615783,0.9426055071375734,0.6306969630037533,0.9473630634300163,0.6337588203137444,0.6284036714250489,2->3 (22)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,108,4067,12,0.7516597000245882,0.7446779811032259,0.6783385661916101,0.7090530461331246,0.7547287932712533,0.7446779811032259,7->2 (439)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,104,3590,10,0.8676880222841226,0.8734260926202708,0.7045032235378237,0.8493754842593271,0.7516803335311026,0.727855077183559,3->13 (121)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,101,3874,12,0.8002065049044915,0.810062288991067,0.8025930776761966,0.7959131581903688,0.8145692311256695,0.810062288991067,16->6 (163)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,106,3878,12,0.908457968024755,0.8385558516632529,0.8346784194683452,0.9104219543041016,0.8453759292514093,0.8385558516632529,3->2 (151)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,107,3608,11,0.9553769401330376,0.9382448513593405,0.8639608979422548,0.9557449985145787,0.8737978836637641,0.8600577804127288,3->2 (39)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,102,4086,12,0.8859520313264807,0.8709638163542545,0.8704405799931143,0.8830150962773339,0.8968384039485727,0.8709638163542545,2->17 (80)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,105,4227,12,0.9134137686302342,0.9128070195278618,0.9102408411957281,0.9126339620181733,0.9090963103608715,0.9128070195278618,2->3 (78)
