dataset,eval_protocol,model,eval_unit,fold,fold_subject,test_subject,validation_subject,n_train_windows,n_val_windows,n_test_windows,n_test_windows_raw,n_train_eval_samples,n_val_eval_samples,n_test_eval_samples,n_test_predictions,n_test_classes,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,artifact_dir
pamap2,loso,gnn,window,7,107,107,108,22506,4076,3617,3617,22506,4076,3617,3617,11,10892,10892,0,0.0415496826171875,0.8744816145977329,0.8422062249994458,0.7824836688472621,0.8730865179659972,0.8040588401403163,0.7720223729161586,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,8,108,108,109,26025,98,4076,4076,26025,98,4076,4076,12,10892,10892,0,0.0415496826171875,0.426153091265947,0.4262246625828874,0.3640055059088788,0.3753181770831659,0.3636237087038843,0.4262246625828874,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,9,109,109,101,26218,3883,98,98,26218,3883,98,98,1,10892,10892,0,0.0415496826171875,0.7448979591836735,0.7448979591836735,0.0711500974658869,0.8538011695906432,0.0833333333333333,0.0620748299319727,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn_attention_adj,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,11333,11333,0,0.0432319641113281,0.7218645377285604,0.6817180154576099,0.6723352923724849,0.7021120235983176,0.7280951930484941,0.6817180154576099,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,2,102,102,103,23396,2708,4095,4095,23396,2708,4095,4095,12,11333,11333,0,0.0432319641113281,0.7811965811965812,0.7820648515244248,0.7726655846344279,0.7795492623881328,0.8118831666842686,0.7820648515244248,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,3,103,103,104,23892,3599,2708,2708,23892,3599,2708,2708,8,11333,11333,0,0.0432319641113281,0.8205317577548006,0.7831630340023958,0.5350231001236126,0.8236321916591434,0.5762744781306638,0.5221086893349306,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,4,104,104,105,22364,4236,3599,3599,22364,4236,3599,3599,10,11333,11333,0,0.0432319641113281,0.8460683523200889,0.8426274116907522,0.6984646167522768,0.8486535186267862,0.7054594426236888,0.7021895097422934,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,5,105,105,106,22076,3887,4236,4236,22076,3887,4236,4236,12,11333,11333,0,0.0432319641113281,0.853399433427762,0.8277597755997069,0.8402883717562624,0.8528170071007968,0.862789437078272,0.8277597755997069,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,6,106,106,107,22695,3617,3887,3887,22695,3617,3887,3887,12,11333,11333,0,0.0432319641113281,0.8559300231541034,0.7754426117080708,0.7764305253524126,0.8582678939097365,0.7804425577656658,0.7754426117080708,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,7,107,107,108,22506,4076,3617,3617,22506,4076,3617,3617,11,11333,11333,0,0.0432319641113281,0.8664639203760022,0.8246959782055598,0.7727604870017766,0.8628938359126602,0.8163064951594882,0.7559713133550966,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,8,108,108,109,26025,98,4076,4076,26025,98,4076,4076,12,11333,11333,0,0.0432319641113281,0.4006378802747792,0.3788069127746781,0.3184170657394824,0.3535952905218021,0.342750579000886,0.3788069127746781,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,9,109,109,101,26218,3883,98,98,26218,3883,98,98,1,11333,11333,0,0.0432319641113281,0.7653061224489796,0.7653061224489796,0.0722543352601156,0.8670520231213874,0.0833333333333333,0.0637755102040816,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_flatten_lstm,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,454988,454988,0,1.7356414794921875,0.8549303045947341,0.8565471191694908,0.8634872030108706,0.8616212289088607,0.8945942852797607,0.8565471191694908,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,454988,454988,0,1.7356414794921875,0.6979931473323544,0.7387183812913078,0.7080384420109341,0.6754029536078354,0.7826682818666519,0.7387183812913078,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,454988,454988,0,1.7356414794921875,0.8921822897369396,0.8947668117890354,0.6008314057267299,0.9002604032814183,0.6156647030636117,0.596511207859357,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,454988,454988,0,1.7356414794921875,0.9370473537604456,0.9341236646601444,0.7825932263184209,0.9387905035265374,0.7936795880558609,0.7784363872167871,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,454988,454988,0,1.7356414794921875,0.9063165365507452,0.9037943241560088,0.9022684333441914,0.907036828219596,0.9038995494566155,0.9037943241560088,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,454988,454988,0,1.7356414794921875,0.851985559566787,0.7789913147337796,0.7766779377474964,0.8526660332204411,0.7861892726237754,0.7789913147337796,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,7,107,107,108,22506,4076,3617,3617,22443,4067,3608,3608,11,454988,454988,0,1.7356414794921875,0.9661862527716186,0.9452550750547822,0.8726964368107422,0.9660441691004188,0.8809312058968821,0.8664838188002171,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
