dataset,model,eval_unit,metric,folds,mean,std,ci95_half_width,ci95_low,ci95_high
pamap2,cnn,window,accuracy,9,0.7594625392627822,0.1750974337084263,0.1143969900228385,0.6450655492399436,0.8738595292856207
pamap2,cnn,window,macro_f1,9,0.5974872218589584,0.26614709915720575,0.1738827714493744,0.42360445040958405,0.7713699933083328
pamap2,cnn,window,balanced_accuracy,9,0.7444005403622843,0.16161950932271643,0.10559141275750807,0.6388091276047763,0.8499919531197924
pamap2,gnn,window,accuracy,9,0.7516653371453993,0.1384838711493025,0.09047612915087762,0.6611892079945216,0.842141466296277
pamap2,gnn,window,macro_f1,9,0.5958515709533816,0.2398725935491768,0.1567167611187955,0.4391348098345861,0.7525683320721771
pamap2,gnn,window,balanced_accuracy,9,0.7259969398440861,0.12738242411616071,0.08322318375589166,0.6427737560881944,0.8092201235999777
pamap2,gnn_attention_adj,window,accuracy,9,0.7679331787424064,0.1461330401800354,0.09547358625095646,0.6724595924914499,0.8634067649933629
pamap2,gnn_attention_adj,window,macro_f1,9,0.6065154865547613,0.2561976449172283,0.1673824613459225,0.4391330252088388,0.7738979479006838
pamap2,gnn_attention_adj,window,balanced_accuracy,9,0.7401760792680199,0.14352421716838729,0.09376915521667968,0.6464069240513401,0.8339452344846996
pamap2,gnn_flatten_lstm,sequence,accuracy,9,0.8552664397889939,0.12310376368200641,0.08042779227224418,0.7748386475167497,0.935694232061238
pamap2,gnn_flatten_lstm,sequence,macro_f1,9,0.6781898976286705,0.257768162911898,0.16840853310244006,0.5097813645262305,0.8465984307311106
pamap2,gnn_flatten_lstm,sequence,balanced_accuracy,9,0.8469250347858287,0.1229581813113814,0.08033267845676918,0.7665923563290595,0.9272577132425979
pamap2,gnn_learnable_adj,window,accuracy,9,0.7850510162648043,0.0951587589081432,0.06217038915332022,0.7228806271114842,0.8472214054181245
pamap2,gnn_learnable_adj,window,macro_f1,9,0.6222227518832381,0.23239474583554817,0.15183123394589146,0.47039151793734657,0.7740539858291295
pamap2,gnn_learnable_adj,window,balanced_accuracy,9,0.7613543202719776,0.09201817278062004,0.06011853955000509,0.7012357807219725,0.8214728598219827
pamap2,gnn_lstm,sequence,accuracy,9,0.8282801588603262,0.17405946266830816,0.11371884894329466,0.7145613099170316,0.9419990078036209
pamap2,gnn_lstm,sequence,macro_f1,9,0.6529652973663219,0.2736011938337862,0.178752779971407,0.4742125173949149,0.831718077337729
pamap2,gnn_lstm,sequence,balanced_accuracy,9,0.8117535240644329,0.1726641135362025,0.1128072208436523,0.6989463032207806,0.9245607449080853
pamap2,improved_gnn_lstm,sequence,accuracy,9,0.8762885686630728,0.10273858423359336,0.06712254169928099,0.8091660269637918,0.9434111103623538
pamap2,improved_gnn_lstm,sequence,macro_f1,9,0.6968528840622696,0.25401304123651247,0.16595518694118813,0.5308976971210815,0.8628080710034578
pamap2,improved_gnn_lstm,sequence,balanced_accuracy,9,0.8676520895151317,0.09725724967138612,0.06354140311863893,0.8041106863964929,0.9311934926337706
pamap2,improved_gnn_lstm_attn_adj,sequence,accuracy,9,0.8666912036747844,0.09112466135734452,0.059534778753465085,0.8071564249213192,0.9262259824282495
pamap2,improved_gnn_lstm_attn_adj,sequence,macro_f1,9,0.6815009127055343,0.2540694465632199,0.16599203842130367,0.5155088742842306,0.8474929511268379
pamap2,improved_gnn_lstm_attn_adj,sequence,balanced_accuracy,9,0.8424161593238433,0.10852400945169108,0.0709023528417715,0.7715138064820718,0.9133185121656148
pamap2,lstm,window,accuracy,9,0.7268241175502177,0.15200799815415644,0.09931189212738221,0.6275122254228355,0.8261360096775999
pamap2,lstm,window,macro_f1,9,0.5672518044278191,0.23115771796765325,0.15102304240553346,0.41622876202228565,0.7182748468333525
pamap2,lstm,window,balanced_accuracy,9,0.7146042859482168,0.1416354270544124,0.09253514567554944,0.6220691402726674,0.8071394316237662
