result_set,feature_set,window_type,family,model,test_subject,accuracy,macro_f1,worst_activity,worst_activity_recall,worst_activity_support,dominant_confusion,dominant_confusion_count
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,102,0.8064358849341785,0.8207703361139318,nordic_walking,0.34051724137931033,232,nordic_walking -> walking,145
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,103,0.8165070007369197,0.545041345762794,vacuum_cleaning,0.689873417721519,158,sitting -> standing,59
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,104,0.8126385809312638,0.6770137452485571,descending_stairs,0.5495495495495496,111,nordic_walking -> walking,80
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,105,0.8378123526638378,0.8383137468281737,vacuum_cleaning,0.5421052631578948,190,vacuum_cleaning -> ironing,64
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,106,0.8444558521560575,0.7760775940553285,rope_jumping,0.0,2,standing -> sitting,45
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,107,0.875896304467733,0.7956359586719642,vacuum_cleaning,0.625,168,vacuum_cleaning -> ironing,50
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,108,0.7765801077902988,0.7803249652000624,sitting,0.5139664804469274,179,nordic_walking -> walking,80
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,109,0.46938775510204084,0.07098765432098765,rope_jumping,0.46938775510204084,49,rope_jumping -> running,16
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,101,0.8345323741007195,0.8327382334579531,sitting,0.5846994535519126,183,vacuum_cleaning -> cycling,43
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,102,0.8800585080448562,0.8771247405477739,descending_stairs,0.5897435897435898,117,sitting -> ironing,44
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,103,0.9086219602063376,0.6043467707102109,descending_stairs,0.7899159663865546,119,standing -> sitting,18
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,104,0.8059866962305987,0.6673267782543785,ironing,0.2923076923076923,195,ironing -> vacuum_cleaning,89
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,105,0.8939179632248939,0.892446148756448,descending_stairs,0.7755102040816326,98,vacuum_cleaning -> ironing,36
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,106,0.8711498973305954,0.7941909613924922,rope_jumping,0.0,2,standing -> sitting,60
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,107,0.9161610590182019,0.905988572556404,running,0.7857142857142857,28,vacuum_cleaning -> ironing,29
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,108,0.9216070553650172,0.9040589658787596,rope_jumping,0.7941176470588235,68,ironing -> standing,13
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,109,0.8979591836734694,0.23655913978494625,rope_jumping,0.8979591836734694,49,rope_jumping -> vacuum_cleaning,3
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,101,0.8148338913211435,0.8121816270242744,descending_stairs,0.5109170305676856,229,standing -> sitting,85
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,102,0.8051282051282052,0.8189361832772,nordic_walking,0.3002159827213823,463,nordic_walking -> walking,308
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,103,0.8323485967503693,0.5559433219364377,vacuum_cleaning,0.7246835443037974,316,sitting -> standing,106
