result_set,feature_set,window_type,protocol,family,model,activity_group,support,sensitivity,specificity,main_confusion,main_confusion_count
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,knn_k5,stairs,1719,0.8091913903432228,0.9896353739467602,stairs -> locomotion,168
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,random_forest,household,3226,0.9246745195288283,0.9615255376344086,household -> posture,110
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,random_forest,jump,382,0.8691099476439791,0.9987794955248169,jump -> stairs,27
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,random_forest,locomotion,5378,0.9466344365935292,0.97733798195242,locomotion -> stairs,115
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,random_forest,posture,4425,0.9274576271186441,0.9783278841662775,posture -> household,285
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,random_forest,stairs,1719,0.8795811518324608,0.9866527477443889,stairs -> locomotion,82
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,knn_k5,household,660,0.8787878787878788,0.9835164835164835,household -> posture,55
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,knn_k5,jump,72,0.9027777777777778,0.999322951929587,jump -> locomotion,3
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,knn_k5,locomotion,1087,0.9622815087396505,0.9824651882413615,locomotion -> posture,19
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,knn_k5,posture,861,0.9651567944250871,0.9547344110854503,posture -> household,26
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,knn_k5,stairs,346,0.8815028901734104,0.9902985074626866,stairs -> posture,24
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,random_forest,household,660,0.9590909090909091,0.9771766694843618,household -> posture,16
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,random_forest,jump,72,0.9166666666666666,0.9996614759647935,jump -> stairs,3
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,random_forest,locomotion,1087,0.9724011039558418,0.9943269726663229,locomotion -> stairs,15
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,random_forest,posture,861,0.9616724738675958,0.9870669745958429,posture -> household,31
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,random_forest,stairs,346,0.9219653179190751,0.9891791044776119,stairs -> household,10
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,knn_k5,household,6446,0.853552590753956,0.9642992464109796,household -> posture,640
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,knn_k5,jump,762,0.7624671916010499,0.9993205829398376,jump -> locomotion,66
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,knn_k5,locomotion,10734,0.9520216135643749,0.9689699460570255,locomotion -> posture,238
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,knn_k5,posture,8835,0.9309564233163554,0.949400861261936,posture -> household,542
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,knn_k5,stairs,3422,0.8275862068965517,0.9892818463606827,stairs -> locomotion,289
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,random_forest,household,6446,0.9260006205398696,0.963288847724498,household -> posture,222
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,random_forest,jump,762,0.884514435695538,0.9984713116146346,jump -> stairs,49
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,random_forest,locomotion,10734,0.9455934414011552,0.9780118160801439,locomotion -> stairs,255
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,random_forest,posture,8835,0.9265421618562535,0.9791705673094926,posture -> household,542
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,random_forest,stairs,3422,0.891291642314436,0.9858087164357471,stairs -> locomotion,129
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,knn_k5,household,1268,0.9219242902208202,0.9840737636211232,household -> posture,77
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,knn_k5,jump,161,0.9192546583850931,0.999659806089471,jump -> stairs,8
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,knn_k5,locomotion,2145,0.9636363636363636,0.9851091142490372,locomotion -> posture,42
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,knn_k5,posture,1790,0.9698324022346368,0.9644705882352941,posture -> household,42
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,knn_k5,stairs,676,0.886094674556213,0.993661446681581,stairs -> locomotion,33
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,random_forest,household,1268,0.9802839116719243,0.9849119865884325,household -> posture,15
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,random_forest,jump,161,0.968944099378882,0.999659806089471,jump -> stairs,4
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,random_forest,locomotion,2145,0.9808857808857809,0.9974326059050064,locomotion -> stairs,18
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,random_forest,posture,1790,0.9731843575418995,0.9910588235294118,posture -> household,48
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,random_forest,stairs,676,0.9526627218934911,0.9945935868754661,stairs -> posture,17
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,knn_k5,household,3226,0.8639181649101054,0.9573252688172043,household -> posture,299
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,knn_k5,jump,382,0.7591623036649214,0.9986438839164633,jump -> stairs,43
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,knn_k5,locomotion,5378,0.9432874674600223,0.9522149302707137,locomotion -> household,100
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,knn_k5,posture,4425,0.9143502824858757,0.9536665109761794,posture -> household,336
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,knn_k5,stairs,1719,0.7294938917975567,0.9858325255387369,stairs -> locomotion,304
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,random_forest,household,3226,0.9172349659020459,0.9606854838709677,household -> locomotion,122
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,random_forest,jump,382,0.8612565445026178,0.9985082723081096,jump -> stairs,33
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,random_forest,locomotion,5378,0.9259947936035701,0.9682116488925349,locomotion -> stairs,205
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,random_forest,posture,4425,0.9224858757062147,0.9789817842129845,posture -> household,277
