dataset,eval_protocol,model,subject,n_predictions,n_true_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,dominant_confusion
pamap2,loso,gnn_lstm,109,89,1,0.651685393258427,0.651685393258427,0.06575963718820861,0.7891156462585035,0.08333333333333333,0.054307116104868915,24->5 (31)
pamap2,loso,gnn_lstm,108,4067,12,0.5045488074747971,0.5393559064729158,0.4378277240362569,0.4357987408697473,0.48793250090976725,0.5393559064729158,7->13 (366)
pamap2,loso,gnn_lstm,103,2699,8,0.8532789922193404,0.835483965056241,0.5686720784442202,0.8604979435854889,0.5892556220062474,0.556989310037494,2->1 (95)
pamap2,loso,gnn_lstm,104,3590,10,0.7498607242339833,0.7670105432754836,0.6078537220116191,0.72625307443712,0.6817769523010692,0.6391754527295697,7->12 (353)
pamap2,loso,gnn_lstm,101,3874,12,0.7901393908105317,0.7620555634760287,0.7381748423453692,0.7618018662092984,0.8268892199470836,0.7620555634760287,24->5 (170)
pamap2,loso,gnn_lstm,107,3608,11,0.8497782705099778,0.8075806640492867,0.7442885973873667,0.8529145033150382,0.7618192490038916,0.7402822753785129,13->12 (91)
pamap2,loso,gnn_lstm,106,3878,12,0.868231046931408,0.7993749273919245,0.8013574338459023,0.872814874887355,0.8120680775921417,0.7993749273919245,3->2 (114)
pamap2,loso,gnn_lstm,102,4086,12,0.819627998042095,0.8128496778506044,0.8033387507673271,0.8197672349418744,0.8283083398799712,0.8128496778506044,4->12 (157)
pamap2,loso,gnn_lstm,105,4227,12,0.8485923823042347,0.8307941118502574,0.8214664916534429,0.8458636138665306,0.8375524209552448,0.8307941118502574,3->17 (183)
