dataset,eval_protocol,model,subject,n_predictions,n_true_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,dominant_confusion
pamap2,loso,improved_gnn_lstm_attn_adj,109,89,1,0.8764044943820225,0.8764044943820225,0.07784431137724551,0.9341317365269463,0.08333333333333333,0.07303370786516854,24->5 (8)
pamap2,loso,improved_gnn_lstm_attn_adj,103,2699,8,0.9399777695442757,0.9342794213778061,0.626350846878498,0.9402295071718786,0.6307930057334703,0.6228529475852039,3->17 (44)
pamap2,loso,improved_gnn_lstm_attn_adj,102,4086,12,0.6891825746451297,0.6913666366564925,0.65875868421513,0.6694768917306614,0.7876447483956585,0.6913666366564925,4->12 (457)
pamap2,loso,improved_gnn_lstm_attn_adj,108,4067,12,0.7371526924022621,0.7280007089950135,0.6768044576179014,0.7084934446951439,0.762382483238274,0.7280007089950135,7->13 (280)
pamap2,loso,improved_gnn_lstm_attn_adj,104,3590,10,0.8484679665738162,0.8562673555587909,0.6971222689550896,0.8350410098378239,0.7144952114247604,0.7135561296323257,3->2 (190)
pamap2,loso,improved_gnn_lstm_attn_adj,106,3878,12,0.9094894275399691,0.8389199489924121,0.8340432645816723,0.9110573492423657,0.836124603878971,0.8389199489924121,3->2 (118)
pamap2,loso,improved_gnn_lstm_attn_adj,101,3874,12,0.8644811564274651,0.8679193766768548,0.8638180410294005,0.8619166958259227,0.8825108636007385,0.8679193766768548,2->3 (95)
pamap2,loso,improved_gnn_lstm_attn_adj,107,3608,11,0.9659090909090909,0.9460432491363601,0.8743689673791842,0.96594021010597,0.8848312751227367,0.8672063117083301,16->17 (19)
pamap2,loso,improved_gnn_lstm_attn_adj,105,4227,12,0.8928317955997161,0.8928790963156857,0.8926884029724521,0.8918285637193333,0.8991376302230716,0.8928790963156857,3->17 (122)
