epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.49635329089686164,0.30939677912119407,0.8761410877298247,0.9162652834383105,0.8576141151214255,0.6108235760552189
2,0.20516226117153952,0.27234019668825954,0.9478849697852827,0.9288625416821045,0.9436186719897218,0.6188201620765742
3,0.15922964562169842,0.3074739375688265,0.9567565250932156,0.9210818821785847,0.9526528719808883,0.6141518996601781
4,0.13315092834096753,0.35484636511940754,0.9633994771353876,0.9233049277510189,0.9597982860644909,0.6181606989366673
5,0.12250600931732111,0.328570191955952,0.9651566450949299,0.9203408669877733,0.9614056802591312,0.6150093235107463
6,0.11052707844199357,0.34401091952453133,0.9681995457077959,0.9144127454612819,0.9643529733493503,0.6087034925586997
7,0.10283230569032657,0.41307770512249664,0.9704710067286676,0.9144127454612819,0.9672016500075343,0.6113266206535032
8,0.09101155025623708,0.4837874881994152,0.973599622851755,0.8692108188217859,0.9700863683668949,0.5831219886542911
9,0.06312324738059165,0.5001068899071807,0.9814854497921399,0.9133012226750649,0.9794085907446504,0.6063712071613901
10,0.056445459385036846,0.44657524870641946,0.9828997557107959,0.9240459429418303,0.98104134121439,0.6133350921251348
