result_set,feature_set,protocol,family,model,fine_accuracy,group_accuracy,group_macro_f1
canonical_protocol_only,acc16_gyro,loso,baseline,adaboost_tree,0.7733037517798602,0.853670651346071,0.8231303110296218
canonical_protocol_only,acc16_gyro,loso,baseline,bagged_tree_entropy,0.7989668532070598,0.8523129904963741,0.8313968443274085
canonical_protocol_only,acc16_gyro,loso,baseline,decision_tree_entropy,0.745157124408093,0.8103248451935494,0.7770244847419732
canonical_protocol_only,acc16_gyro,loso,baseline,dummy_most_frequent,0.11490446703533229,0.3025596874068678,0.14998578934961734
canonical_protocol_only,acc16_gyro,loso,baseline,gaussian_nb,0.7669790390410278,0.8456571409649326,0.80274604308382
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,0.8182390145369052,0.8929103612702407,0.8699047968728388
canonical_protocol_only,acc16_gyro,loso,baseline,linear_svm,0.8234709758601279,0.8847975098513196,0.8450603664731752
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,0.8823470975860128,0.921388125434617,0.9116048243781641
canonical_protocol_only,acc16_gyro,loso,baseline,rbf_svm,0.8403589522831881,0.891453359382761,0.8360092746928023
canonical_protocol_only,acc16_gyro,random_holdout,baseline,adaboost_tree,0.8554635761589404,0.9082781456953642,0.8780289201027205
canonical_protocol_only,acc16_gyro,random_holdout,baseline,bagged_tree_entropy,0.9385761589403974,0.9556291390728476,0.9446644281514928
canonical_protocol_only,acc16_gyro,random_holdout,baseline,decision_tree_entropy,0.9084437086092715,0.9321192052980133,0.9200005455557442
canonical_protocol_only,acc16_gyro,random_holdout,baseline,dummy_most_frequent,0.12251655629139073,0.2099337748344371,0.06940339354132458
canonical_protocol_only,acc16_gyro,random_holdout,baseline,gaussian_nb,0.8490066225165563,0.8937086092715232,0.8685764371777248
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,0.9120860927152318,0.9379139072847682,0.927924943737995
canonical_protocol_only,acc16_gyro,random_holdout,baseline,linear_svm,0.9185430463576159,0.9425496688741721,0.9318175423267437
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,0.9433774834437086,0.9582781456953643,0.9480712408812773
canonical_protocol_only,acc16_gyro,random_holdout,baseline,rbf_svm,0.9294701986754967,0.9481788079470199,0.9296567975396492
canonical_protocol_only,acc16_gyro_hr,loso,baseline,adaboost_tree,0.6547236663465678,0.77439650319547,0.6777535294391741
canonical_protocol_only,acc16_gyro_hr,loso,baseline,bagged_tree_entropy,0.7945296201860989,0.8595979999337726,0.8416903512018183
canonical_protocol_only,acc16_gyro_hr,loso,baseline,decision_tree_entropy,0.7145931984502798,0.7976423060366238,0.7612624191631719
canonical_protocol_only,acc16_gyro_hr,loso,baseline,dummy_most_frequent,0.11490446703533229,0.3025596874068678,0.14998578934961734
canonical_protocol_only,acc16_gyro_hr,loso,baseline,gaussian_nb,0.776482664988907,0.8497963508725455,0.8082251663793845
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,0.8280737772773933,0.9059571508990364,0.8866573801218692
canonical_protocol_only,acc16_gyro_hr,loso,baseline,linear_svm,0.8384052452067949,0.8980760952349416,0.8635521116489493
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,0.8801284810755323,0.9281433160038411,0.917759612528954
canonical_protocol_only,acc16_gyro_hr,loso,baseline,rbf_svm,0.8462863008708897,0.89655286598894,0.8407123776865906
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,adaboost_tree,0.7687086092715232,0.8614238410596027,0.8021190002680232
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,bagged_tree_entropy,0.9531456953642384,0.9688741721854305,0.9623012231210681
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,decision_tree_entropy,0.9274834437086092,0.9509933774834437,0.9372890160417227
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,dummy_most_frequent,0.12251655629139073,0.2099337748344371,0.06940339354132458
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,gaussian_nb,0.8533112582781457,0.8960264900662251,0.8714792875449205
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,knn_k5,0.9190397350993378,0.9468543046357616,0.9419461923079485
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,linear_svm,0.9316225165562914,0.9544701986754967,0.9433810185735643
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,random_forest,0.9615894039735099,0.975,0.9718440470727918
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,rbf_svm,0.9413907284768211,0.9605960264900663,0.9449457578379603
canonical_protocol_only,acc16_hr,loso,baseline,adaboost_tree,0.6484320672869962,0.7606212126229346,0.6680541761676774
canonical_protocol_only,acc16_hr,loso,baseline,bagged_tree_entropy,0.8030729494354117,0.8809894367363158,0.8515477953806236
canonical_protocol_only,acc16_hr,loso,baseline,decision_tree_entropy,0.7126063776946256,0.8173449451968609,0.7817881887281373
canonical_protocol_only,acc16_hr,loso,baseline,dummy_most_frequent,0.11490446703533229,0.3025596874068678,0.14998578934961734
canonical_protocol_only,acc16_hr,loso,baseline,gaussian_nb,0.7590317560184112,0.8320805324679625,0.7863588449788386
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,0.8230404980297361,0.8929434749495017,0.8689422174113423
canonical_protocol_only,acc16_hr,loso,baseline,linear_svm,0.8174773999139044,0.8913209046657175,0.8672252888797288
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,0.8529090367230703,0.9120500678830424,0.8988785501141046
canonical_protocol_only,acc16_hr,loso,baseline,rbf_svm,0.8187026060465579,0.8773138183383555,0.8400424679652829
canonical_protocol_only,acc16_hr,random_holdout,baseline,adaboost_tree,0.7576158940397351,0.8743377483443708,0.7894771413800026
canonical_protocol_only,acc16_hr,random_holdout,baseline,bagged_tree_entropy,0.9503311258278145,0.9680463576158941,0.9601857484096495
canonical_protocol_only,acc16_hr,random_holdout,baseline,decision_tree_entropy,0.9208609271523179,0.9480132450331126,0.9315567617267473
canonical_protocol_only,acc16_hr,random_holdout,baseline,dummy_most_frequent,0.12251655629139073,0.2099337748344371,0.06940339354132458
canonical_protocol_only,acc16_hr,random_holdout,baseline,gaussian_nb,0.8516556291390729,0.9019867549668874,0.8783060175434001
canonical_protocol_only,acc16_hr,random_holdout,baseline,knn_k5,0.9258278145695364,0.9478476821192053,0.9407784290839045
canonical_protocol_only,acc16_hr,random_holdout,baseline,linear_svm,0.9256622516556291,0.9513245033112583,0.9386454884804245
canonical_protocol_only,acc16_hr,random_holdout,baseline,random_forest,0.9673841059602649,0.9806291390728477,0.9777522846206124
canonical_protocol_only,acc16_hr,random_holdout,baseline,rbf_svm,0.9425496688741721,0.9625827814569536,0.9515938663913366
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8779135400757022,0.9157646590079023,0.9148957813368568
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_res,0.868882395909423,0.9124443854173584,0.8788809377255886
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9893758300132802,0.9931938911022576,0.9926673277595182
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_res,0.9855577689243028,0.9912018592297477,0.990455426967433
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8754565376186998,0.9098545720167341,0.8839858676502305
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_res,0.8757885649777541,0.9283484959160635,0.9135228744105429
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9885458167330677,0.9956839309428951,0.9954832449282126
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_res,0.9892098273572377,0.9941899070385126,0.9933137985279208
canonical_protocol_only_v3,acc16_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8347167806627266,0.8893684839630785,0.8855964643970294
canonical_protocol_only_v3,acc16_hr,loso,deep,improved_gnn_lstm_res,0.8144299090245036,0.880470150740421,0.8434571359163113
canonical_protocol_only_v3,acc16_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9908698539176627,0.9950199203187251,0.9945781902019434
canonical_protocol_only_v3,acc16_hr,random_holdout,deep,improved_gnn_lstm_res,0.9897078353253652,0.9943559096945551,0.9941334097513339
