result_set,feature_set,family,model,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std
canonical_protocol_only,acc16_gyro,baseline,adaboost_tree,9,0.7823943275170039,0.07585028193071035,0.6422044811090489,0.21037377573948793,0.7747163517619068,0.11063796513372695
canonical_protocol_only,acc16_gyro,baseline,bagged_tree_entropy,9,0.8058370275177625,0.0830761093193466,0.6586379662465107,0.2239888585493587,0.8112909508561956,0.10886768923930933
canonical_protocol_only,acc16_gyro,baseline,decision_tree_entropy,9,0.7538859419526388,0.06365640926692757,0.6031061433958034,0.21719129757920483,0.7634016866207557,0.11082708240383535
canonical_protocol_only,acc16_gyro,baseline,dummy_most_frequent,9,0.10401726689286689,0.04376893018580955,0.017313726584130266,0.008898788082514748,0.08139730639730638,0.03350744624987628
canonical_protocol_only,acc16_gyro,baseline,gaussian_nb,9,0.7684331147694649,0.07895567165400787,0.6346655249926645,0.20993992010758086,0.7941510383316784,0.09838101143623341
canonical_protocol_only,acc16_gyro,baseline,knn_k5,9,0.7894896808016028,0.09470520245342634,0.6757129652052312,0.2443113175003306,0.8270411288291901,0.07174740345996351
canonical_protocol_only,acc16_gyro,baseline,linear_svm,9,0.8297505930798728,0.06998882336900396,0.6744329439282175,0.22987015447568013,0.835950083233581,0.09585385774661467
canonical_protocol_only,acc16_gyro,baseline,random_forest,9,0.8789305029457198,0.025989256572360838,0.7681823750707454,0.23373277303191023,0.8786304961228287,0.055585781852512416
canonical_protocol_only,acc16_gyro,baseline,rbf_svm,9,0.8459206473776055,0.05441536257546459,0.7062605732687737,0.20969753374117706,0.8503987892251023,0.0757132426683157
canonical_protocol_only,acc16_gyro_hr,baseline,adaboost_tree,9,0.6502992241169414,0.07459047496467286,0.5221820712129427,0.1660712151319035,0.6687287496619764,0.13966709507017827
canonical_protocol_only,acc16_gyro_hr,baseline,bagged_tree_entropy,9,0.8018152847416525,0.07819803187915889,0.654840990179271,0.21963067589093718,0.8126605460347558,0.10232715663315703
canonical_protocol_only,acc16_gyro_hr,baseline,decision_tree_entropy,9,0.7303064514740487,0.09235525251873654,0.5818233066581493,0.197376762209196,0.7388200866686545,0.12886772551219425
canonical_protocol_only,acc16_gyro_hr,baseline,dummy_most_frequent,9,0.10401726689286689,0.04376893018580955,0.017313726584130266,0.008898788082514748,0.08139730639730638,0.03350744624987628
canonical_protocol_only,acc16_gyro_hr,baseline,gaussian_nb,9,0.7743974617953684,0.07986482643145562,0.6474194982758777,0.21175509059878014,0.802373555954574,0.09528887896410966
canonical_protocol_only,acc16_gyro_hr,baseline,knn_k5,9,0.7964853026557553,0.10320977661097278,0.6857895114722181,0.2416204682052649,0.8363069417367156,0.06662038056222187
canonical_protocol_only,acc16_gyro_hr,baseline,linear_svm,9,0.8449208576016941,0.06282783571495422,0.691903440821696,0.2090205115477417,0.8521449199006029,0.08808046019732282
canonical_protocol_only,acc16_gyro_hr,baseline,random_forest,9,0.8798976852058268,0.04264008854564145,0.7445422586717971,0.21306954414659401,0.8821788748792447,0.06047643156032792
canonical_protocol_only,acc16_gyro_hr,baseline,rbf_svm,9,0.8557896205553699,0.055788763139121456,0.7068487305447062,0.19657347133497002,0.855654377657086,0.07683622928504578
canonical_protocol_only,acc16_hr,baseline,adaboost_tree,9,0.6226832688759895,0.093263156687346,0.5078967545418318,0.16643955129963497,0.6705651233433984,0.1343863338775298
canonical_protocol_only,acc16_hr,baseline,bagged_tree_entropy,9,0.8124766780940202,0.061785310110064905,0.6643206107798889,0.18906005180088958,0.8122032455423828,0.09202614910239203
canonical_protocol_only,acc16_hr,baseline,decision_tree_entropy,9,0.7329667634644912,0.08208520366447454,0.5786020838054398,0.17946913530154904,0.7360817431877784,0.11655205125822196
canonical_protocol_only,acc16_hr,baseline,dummy_most_frequent,9,0.10401726689286689,0.04376893018580955,0.017313726584130266,0.008898788082514748,0.08139730639730638,0.03350744624987628
canonical_protocol_only,acc16_hr,baseline,gaussian_nb,9,0.7384843955149923,0.12335568820374668,0.6216943431495748,0.2216930742245026,0.7752175712857792,0.11929118530750639
canonical_protocol_only,acc16_hr,baseline,knn_k5,9,0.8054282801537032,0.05878216414387493,0.6788538664535241,0.23064060893250277,0.8258314888889304,0.06759217265167258
canonical_protocol_only,acc16_hr,baseline,linear_svm,9,0.8319318461450996,0.08931210366361421,0.6773102196106103,0.21614437963505298,0.8407761948138869,0.09768690073422392
canonical_protocol_only,acc16_hr,baseline,random_forest,9,0.8508481406965014,0.05912989478747315,0.7194442190145944,0.21863967283011101,0.8575853513236897,0.07811406857874471
canonical_protocol_only,acc16_hr,baseline,rbf_svm,9,0.8275649199461786,0.06484207318571393,0.6752126811311239,0.20199914488931509,0.8361883996497644,0.08503247700981303
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_attn_adj_resbn,9,0.8922270049335508,0.08257399713678855,0.7184690361809059,0.2535112002604163,0.8826230047700139,0.07422360989942191
canonical_protocol_only_v3,acc16_gyro,deep,improved_gnn_lstm_res,9,0.8471272529563331,0.13167313866716152,0.7041768751958164,0.2782683050791581,0.8355554046420813,0.12823137823392805
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_attn_adj_resbn,9,0.8921557601765875,0.07757674625533642,0.7087539891491289,0.2533965492671548,0.8812603787507608,0.07731407884136522
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_res,9,0.8926854373908095,0.07290693738920398,0.7158119659884216,0.25198983469417496,0.8846891141327954,0.07429562486492455
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_attn_adj_resbn,9,0.8571450071260782,0.10886564375911853,0.682535518047602,0.24443288162061363,0.8556963002639879,0.09060164844548013
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_res,9,0.8319904139298104,0.16019170276853067,0.6588873545416865,0.26964031290051554,0.8244186996589639,0.15091711824143303
