result_set,feature_set,protocol,family,model,accuracy,balanced_accuracy,macro_f1,holdout_minus_loso_accuracy
canonical_protocol_only,acc16_gyro,loso,baseline,random_forest,0.8823470975860128,0.8742059468880656,0.8862879673561005,0.061030385857695824
canonical_protocol_only,acc16_gyro,loso,baseline,rbf_svm,0.8403589522831881,0.8320948574332873,0.8248514629343999,0.08911124639230872
canonical_protocol_only,acc16_gyro,loso,baseline,knn_k5,0.8182390145369052,0.8098069058135907,0.8233229753496407,0.0938470781783266
canonical_protocol_only,acc16_gyro,loso,baseline,linear_svm,0.8234709758601279,0.8194136920152536,0.8166009694678036,0.09507207049748811
canonical_protocol_only,acc16_gyro,loso,baseline,bagged_tree_entropy,0.7989668532070598,0.7933756025822941,0.7961463867620201,0.13960930573333752
canonical_protocol_only,acc16_gyro,loso,baseline,adaboost_tree,0.7733037517798602,0.7522082393419955,0.7695433223233091,0.0821598243790802
canonical_protocol_only,acc16_gyro,loso,baseline,gaussian_nb,0.7669790390410278,0.7726105844990854,0.7678956564125357,0.08202758347552852
canonical_protocol_only,acc16_gyro,loso,baseline,decision_tree_entropy,0.745157124408093,0.7388667043217807,0.736403521415922,0.1632865842011786
canonical_protocol_only,acc16_gyro,loso,baseline,dummy_most_frequent,0.1149044670353322,0.0777852573810852,0.0308176257454136,0.007612089256058496
canonical_protocol_only,acc16_gyro,random_holdout,baseline,random_forest,0.9433774834437086,0.9338562192737926,0.9422228719235728,0.061030385857695824
canonical_protocol_only,acc16_gyro,random_holdout,baseline,bagged_tree_entropy,0.9385761589403974,0.9294908642965632,0.936351653300839,0.13960930573333752
canonical_protocol_only,acc16_gyro,random_holdout,baseline,rbf_svm,0.9294701986754969,0.9214062129984928,0.9253802454946426,0.08911124639230872
canonical_protocol_only,acc16_gyro,random_holdout,baseline,linear_svm,0.918543046357616,0.9106117465043952,0.9162444606009632,0.09507207049748811
canonical_protocol_only,acc16_gyro,random_holdout,baseline,knn_k5,0.9120860927152318,0.902431917557401,0.9118891649221712,0.0938470781783266
canonical_protocol_only,acc16_gyro,random_holdout,baseline,decision_tree_entropy,0.9084437086092716,0.9010197181200276,0.9051252659003188,0.1632865842011786
canonical_protocol_only,acc16_gyro,random_holdout,baseline,gaussian_nb,0.8490066225165563,0.843571506774779,0.8489949565000324,0.08202758347552852
canonical_protocol_only,acc16_gyro,random_holdout,baseline,adaboost_tree,0.8554635761589404,0.8309365591649757,0.8471068878682303,0.0821598243790802
canonical_protocol_only,acc16_gyro,random_holdout,baseline,dummy_most_frequent,0.1225165562913907,0.0833333333333333,0.0181907571288102,0.007612089256058496
canonical_protocol_only,acc16_gyro_hr,loso,baseline,random_forest,0.8801284810755323,0.8784926496794939,0.8815293401735472,0.08146092289797768
canonical_protocol_only,acc16_gyro_hr,loso,baseline,knn_k5,0.8280737772773933,0.8206562743153941,0.8339330814898723,0.0909659578219445
canonical_protocol_only,acc16_gyro_hr,loso,baseline,linear_svm,0.8384052452067949,0.8343176686401502,0.8309166964904797,0.09321727134949642
canonical_protocol_only,acc16_gyro_hr,loso,baseline,rbf_svm,0.8462863008708897,0.8379037215928409,0.8290548624384786,0.09510442760593141
canonical_protocol_only,acc16_gyro_hr,loso,baseline,bagged_tree_entropy,0.7945296201860989,0.7937645879435965,0.7933169288714272,0.15861607517813958
canonical_protocol_only,acc16_gyro_hr,loso,baseline,gaussian_nb,0.776482664988907,0.7815911587424546,0.7763788610617514,0.07682859328923874
canonical_protocol_only,acc16_gyro_hr,loso,baseline,decision_tree_entropy,0.7145931984502798,0.7155641235110356,0.7096955142477231,0.21289024525832945
canonical_protocol_only,acc16_gyro_hr,loso,baseline,adaboost_tree,0.6547236663465678,0.6232460450628406,0.6283114233654558,0.11398494292495542
canonical_protocol_only,acc16_gyro_hr,loso,baseline,dummy_most_frequent,0.1149044670353322,0.0777852573810852,0.0308176257454136,0.007612089256058496
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,random_forest,0.96158940397351,0.9597505632609166,0.9615914145782466,0.08146092289797768
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,bagged_tree_entropy,0.9531456953642384,0.9496082251982694,0.9515447979612373,0.15861607517813958
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,rbf_svm,0.9413907284768211,0.9368558030244212,0.936408868595436,0.09510442760593141
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,linear_svm,0.9316225165562914,0.9254324760261564,0.9284610431670632,0.09321727134949642
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,decision_tree_entropy,0.9274834437086092,0.921597980917552,0.9235087044684912,0.21289024525832945
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,knn_k5,0.9190397350993378,0.9145647278237056,0.9215820697553412,0.0909659578219445
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,gaussian_nb,0.8533112582781457,0.8479080063074691,0.8532524222490512,0.07682859328923874
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,adaboost_tree,0.7687086092715232,0.7362643606384833,0.7457730905965332,0.11398494292495542
canonical_protocol_only,acc16_gyro_hr,random_holdout,baseline,dummy_most_frequent,0.1225165562913907,0.0833333333333333,0.0181907571288102,0.007612089256058496
canonical_protocol_only,acc16_hr,loso,baseline,random_forest,0.8529090367230703,0.8491303699462157,0.8506025434252518,0.11447506923719453
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,0.8230404980297361,0.8101267540415811,0.8221990226076247,0.10278731653980033
canonical_protocol_only,acc16_hr,loso,baseline,linear_svm,0.8174773999139044,0.8185405782949919,0.8165207026413062,0.10818485174172476
canonical_protocol_only,acc16_hr,loso,baseline,rbf_svm,0.8187026060465579,0.8160845191401278,0.806641237331104,0.12384706282761415
canonical_protocol_only,acc16_hr,loso,baseline,bagged_tree_entropy,0.8030729494354117,0.7911437890103628,0.7960726360545114,0.14725817639240268
canonical_protocol_only,acc16_hr,loso,baseline,gaussian_nb,0.7590317560184112,0.75396957935757,0.7502026135064113,0.09262387312066167
canonical_protocol_only,acc16_hr,loso,baseline,decision_tree_entropy,0.7126063776946256,0.7109080135161875,0.7062249225534954,0.2082545494576924
canonical_protocol_only,acc16_hr,loso,baseline,adaboost_tree,0.6484320672869962,0.6148252044076856,0.6190898580776633,0.10918382675273886
canonical_protocol_only,acc16_hr,loso,baseline,dummy_most_frequent,0.1149044670353322,0.0777852573810852,0.0308176257454136,0.007612089256058496
canonical_protocol_only,acc16_hr,random_holdout,baseline,random_forest,0.9673841059602648,0.9651628002036609,0.9671296274393222,0.11447506923719453
canonical_protocol_only,acc16_hr,random_holdout,baseline,bagged_tree_entropy,0.9503311258278144,0.9444936492831988,0.9474516069060804,0.14725817639240268
canonical_protocol_only,acc16_hr,random_holdout,baseline,rbf_svm,0.942549668874172,0.93751197953728,0.938830434445626,0.12384706282761415
canonical_protocol_only,acc16_hr,random_holdout,baseline,knn_k5,0.9258278145695364,0.9187888854783252,0.9250461851819862,0.10278731653980033
canonical_protocol_only,acc16_hr,random_holdout,baseline,linear_svm,0.9256622516556292,0.9198748683287497,0.9216692897049518,0.10818485174172476
canonical_protocol_only,acc16_hr,random_holdout,baseline,decision_tree_entropy,0.920860927152318,0.9112908173747916,0.9143008785933396,0.2082545494576924
canonical_protocol_only,acc16_hr,random_holdout,baseline,gaussian_nb,0.8516556291390729,0.8382477127057971,0.8455448542566045,0.09262387312066167
canonical_protocol_only,acc16_hr,random_holdout,baseline,adaboost_tree,0.7576158940397351,0.7171801422076921,0.7207484716991969,0.10918382675273886
canonical_protocol_only,acc16_hr,random_holdout,baseline,dummy_most_frequent,0.1225165562913907,0.0833333333333333,0.0181907571288102,0.007612089256058496
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8779135400757022,0.8765656958616953,0.8809793616502438,0.11146228993757801
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_res,0.868882395909423,0.8622771488995373,0.856994610657502,0.11667537301487985
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9893758300132802,0.9889403610941208,0.9889922292508908,0.11146228993757801
canonical_protocol_only_v3,acc16_gyro,random_holdout,deep,improved_gnn_lstm_res,0.9855577689243028,0.984760001591915,0.9853095106422218,0.11667537301487985
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8754565376186998,0.8716457644257302,0.8647247184297258,0.11308927911436784
canonical_protocol_only_v3,acc16_gyro_hr,loso,deep,improved_gnn_lstm_res,0.8757885649777541,0.8787535315312064,0.8756701946545915,0.11342126237948347
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9885458167330676,0.9894720323117784,0.9887893342676142,0.11308927911436784
canonical_protocol_only_v3,acc16_gyro_hr,random_holdout,deep,improved_gnn_lstm_res,0.9892098273572376,0.9893516364413524,0.9890135627998088,0.11342126237948347
canonical_protocol_only_v3,acc16_hr,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.8347167806627266,0.8411516215825762,0.8371126567257634,0.15615307325493621
canonical_protocol_only_v3,acc16_hr,loso,deep,improved_gnn_lstm_res,0.8144299090245036,0.8042628279346987,0.8043540051591518,0.1752779263008616
canonical_protocol_only_v3,acc16_hr,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.9908698539176628,0.990972548907375,0.9906265099692052,0.15615307325493621
canonical_protocol_only_v3,acc16_hr,random_holdout,deep,improved_gnn_lstm_res,0.9897078353253652,0.9894988472428656,0.9896403121037228,0.1752779263008616
