result_set,feature_set,model_a,model_b,macro_f1_mean_diff_a_minus_b,paired_folds
canonical_protocol_only,acc16_gyro_hr,knn_k5,linear_svm,-0.006113929349477796,9
canonical_protocol_only,acc16_gyro_hr,knn_k5,random_forest,-0.05875274719957903,9
canonical_protocol_only,acc16_gyro_hr,knn_k5,rbf_svm,-0.021059219072488106,9
canonical_protocol_only,acc16_gyro_hr,linear_svm,random_forest,-0.05263881785010123,9
canonical_protocol_only,acc16_gyro_hr,linear_svm,rbf_svm,-0.01494528972301031,9
canonical_protocol_only,acc16_gyro_hr,random_forest,rbf_svm,0.03769352812709092,9
canonical_protocol_only,acc16_hr,adaboost_tree,bagged_tree_entropy,-0.1564238562380571,9
canonical_protocol_only,acc16_hr,adaboost_tree,decision_tree_entropy,-0.07070532926360797,9
canonical_protocol_only,acc16_hr,adaboost_tree,dummy_most_frequent,0.49058302795770153,9
canonical_protocol_only,acc16_hr,adaboost_tree,gaussian_nb,-0.11379758860774311,9
canonical_protocol_only,acc16_hr,adaboost_tree,knn_k5,-0.17095711191169224,9
canonical_protocol_only,acc16_hr,adaboost_tree,linear_svm,-0.16941346506877847,9
canonical_protocol_only,acc16_hr,adaboost_tree,random_forest,-0.21154746447276254,9
canonical_protocol_only,acc16_hr,adaboost_tree,rbf_svm,-0.16731592658929204,9
canonical_protocol_only,acc16_hr,bagged_tree_entropy,decision_tree_entropy,0.08571852697444914,9
canonical_protocol_only,acc16_hr,bagged_tree_entropy,dummy_most_frequent,0.6470068841957587,9
canonical_protocol_only,acc16_hr,bagged_tree_entropy,gaussian_nb,0.04262626763031399,9
canonical_protocol_only,acc16_hr,bagged_tree_entropy,knn_k5,-0.014533255673635139,9
canonical_protocol_only,acc16_hr,bagged_tree_entropy,linear_svm,-0.012989608830721363,9
canonical_protocol_only,acc16_hr,bagged_tree_entropy,random_forest,-0.055123608234705475,9
canonical_protocol_only,acc16_hr,bagged_tree_entropy,rbf_svm,-0.010892070351234942,9
canonical_protocol_only,acc16_hr,decision_tree_entropy,dummy_most_frequent,0.5612883572213094,9
canonical_protocol_only,acc16_hr,decision_tree_entropy,gaussian_nb,-0.04309225934413515,9
canonical_protocol_only,acc16_hr,decision_tree_entropy,knn_k5,-0.10025178264808428,9
canonical_protocol_only,acc16_hr,decision_tree_entropy,linear_svm,-0.09870813580517052,9
canonical_protocol_only,acc16_hr,decision_tree_entropy,random_forest,-0.1408421352091546,9
canonical_protocol_only,acc16_hr,decision_tree_entropy,rbf_svm,-0.09661059732568408,9
canonical_protocol_only,acc16_hr,dummy_most_frequent,gaussian_nb,-0.6043806165654446,9
canonical_protocol_only,acc16_hr,dummy_most_frequent,knn_k5,-0.6615401398693938,9
canonical_protocol_only,acc16_hr,dummy_most_frequent,linear_svm,-0.65999649302648,9
canonical_protocol_only,acc16_hr,dummy_most_frequent,random_forest,-0.7021304924304642,9
canonical_protocol_only,acc16_hr,dummy_most_frequent,rbf_svm,-0.6578989545469935,9
canonical_protocol_only,acc16_hr,gaussian_nb,knn_k5,-0.057159523303949133,9
canonical_protocol_only,acc16_hr,gaussian_nb,linear_svm,-0.05561587646103535,9
canonical_protocol_only,acc16_hr,gaussian_nb,random_forest,-0.09774987586501946,9
canonical_protocol_only,acc16_hr,gaussian_nb,rbf_svm,-0.05351833798154894,9
canonical_protocol_only,acc16_hr,knn_k5,linear_svm,0.0015436468429137777,9
canonical_protocol_only,acc16_hr,knn_k5,random_forest,-0.040590352561070325,9
canonical_protocol_only,acc16_hr,knn_k5,rbf_svm,0.003641185322400198,9
canonical_protocol_only,acc16_hr,linear_svm,random_forest,-0.04213399940398411,9
canonical_protocol_only,acc16_hr,linear_svm,rbf_svm,0.0020975384794864205,9
canonical_protocol_only,acc16_hr,random_forest,rbf_svm,0.04423153788347053,9
canonical_protocol_only_v3,acc16_gyro,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,0.014292160985089468,9
canonical_protocol_only_v3,acc16_gyro_hr,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,-0.007057976839292681,9
canonical_protocol_only_v3,acc16_hr,improved_gnn_lstm_attn_adj_resbn,improved_gnn_lstm_res,0.023648163505915584,9
