dataset,feature_set,protocol,family,model,fold,test_subject,perturbation,severity,status,clean_accuracy,perturbed_accuracy,accuracy_drop,clean_macro_f1,perturbed_macro_f1,macro_f1_drop,most_affected_class,n_eval_samples,checkpoint_path
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,6,106,heart_rate_zero,high,ok,0.10290712631849755,0.10290712631849755,0.0,0.015550890288469016,0.015550890288469016,0.0,lying,3887.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,7,107,heart_rate_zero,high,ok,0.12690074647497926,0.12690074647497926,0.0,0.0204746186100455,0.0204746186100455,0.0,lying,3617.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,8,108,heart_rate_zero,high,ok,0.1204612365063788,0.1204612365063788,0.0,0.0179184001167798,0.0179184001167798,0.0,lying,4076.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,9,109,heart_rate_zero,high,ok,0.0,0.0,0.0,0.0,0.0,0.0,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,aggregate,aggregate,heart_rate_zero,high,ok,0.11490446703533229,0.11490446703533229,0.0,0.03081762574541368,0.03081762574541368,0.0,lying,30199.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,1,101,gaussian_noise,low,ok,0.7298480556270924,0.7002317795518929,0.029616276075199566,0.7062924980704636,0.6742076760618048,0.03208482200865881,walking,3883.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,2,102,gaussian_noise,low,ok,0.5181929181929182,0.5147741147741147,0.0034188034188035177,0.46975613180894665,0.46739764121986466,0.0023584905890819963,descending_stairs,4095.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,3,103,gaussian_noise,low,ok,0.8190546528803545,0.7817577548005908,0.03729689807976366,0.5843066342812221,0.5584873179047936,0.025819316376428536,descending_stairs,2708.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,4,104,gaussian_noise,low,ok,0.756321200333426,0.7046401778271743,0.05168102250625173,0.6696159708693413,0.5735916458444469,0.09602432502489444,nordic_walking,3599.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,5,105,gaussian_noise,low,ok,0.8236543909348442,0.8085457979225684,0.01510859301227574,0.8116503185324104,0.787477014569591,0.02417330396281947,descending_stairs,4236.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,6,106,gaussian_noise,low,ok,0.8168253151530743,0.7319269359403139,0.08489837921276044,0.7502496755864897,0.6767983756143258,0.07345129997216393,walking,3887.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,7,107,gaussian_noise,low,ok,0.8330107824163672,0.8169753939729058,0.016035388443461418,0.728699150970355,0.7074898703664151,0.021209280603939895,sitting,3617.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,8,108,gaussian_noise,low,ok,0.8086359175662414,0.7924435721295388,0.01619234543670267,0.7743948860888189,0.7509570418038783,0.023437844284940557,descending_stairs,4076.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,9,109,gaussian_noise,low,ok,0.5408163265306123,0.5,0.04081632653061229,0.10028382213812678,0.13333333333333333,-0.03304951119520655,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,aggregate,aggregate,gaussian_noise,low,ok,0.7590317560184112,0.7279711248716845,0.031060631146726747,0.7502026135064113,0.7216189198198979,0.028583693686513367,descending_stairs,30199.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,1,101,gaussian_noise,medium,ok,0.7298480556270924,0.5588462528972444,0.171001802729848,0.7062924980704636,0.5258479470799636,0.18044455099049994,walking,3883.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,2,102,gaussian_noise,medium,ok,0.5181929181929182,0.484981684981685,0.03321123321123326,0.46975613180894665,0.47287989055826846,-0.0031237587493218033,descending_stairs,4095.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,3,103,gaussian_noise,medium,ok,0.8190546528803545,0.4896602658788774,0.3293943870014771,0.5843066342812221,0.3634911842162222,0.22081545006499992,walking,2708.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,4,104,gaussian_noise,medium,ok,0.756321200333426,0.3548207835509864,0.4015004167824396,0.6696159708693413,0.3067446650878671,0.36287130578147425,walking,3599.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,5,105,gaussian_noise,medium,ok,0.8236543909348442,0.5474504249291785,0.27620396600566566,0.8116503185324104,0.5503135590715743,0.2613367594608361,walking,4236.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,6,106,gaussian_noise,medium,ok,0.8168253151530743,0.5526112683303319,0.2642140468227424,0.7502496755864897,0.49373717914029763,0.25651249644619206,walking,3887.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,7,107,gaussian_noise,medium,ok,0.8330107824163672,0.6217860105059442,0.211224771910423,0.728699150970355,0.5530251291810556,0.17567402178929936,walking,3617.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,8,108,gaussian_noise,medium,ok,0.8086359175662414,0.5412168792934249,0.26741903827281654,0.7743948860888189,0.5386115038715782,0.2357833822172407,walking,4076.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,9,109,gaussian_noise,medium,ok,0.5408163265306123,0.2755102040816326,0.26530612244897966,0.10028382213812678,0.144,-0.04371617786187321,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,aggregate,aggregate,gaussian_noise,medium,ok,0.7590317560184112,0.5201496738302592,0.238882082188152,0.7502026135064113,0.5361342396035935,0.21406837390281774,walking,30199.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,1,101,gaussian_noise,high,ok,0.7298480556270924,0.2042235385011589,0.5256245171259335,0.7062924980704636,0.1324372696743119,0.5738552283961517,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,2,102,gaussian_noise,high,ok,0.5181929181929182,0.22979242979242978,0.2884004884004885,0.46975613180894665,0.1972476522834671,0.2725084795254795,ironing,4095.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,3,103,gaussian_noise,high,ok,0.8190546528803545,0.16174298375184637,0.6573116691285081,0.5843066342812221,0.10340304600841217,0.48090358827280993,walking,2708.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,4,104,gaussian_noise,high,ok,0.756321200333426,0.09891636565712698,0.657404834676299,0.6696159708693413,0.054780521345918265,0.6148354495234231,standing,3599.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,5,105,gaussian_noise,high,ok,0.8236543909348442,0.23654390934844194,0.5871104815864022,0.8116503185324104,0.16639036136814436,0.6452599571642661,nordic_walking,4236.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,6,106,gaussian_noise,high,ok,0.8168253151530743,0.2559814767172627,0.5608438384358116,0.7502496755864897,0.18313584870687563,0.5671138268796141,nordic_walking,3887.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,7,107,gaussian_noise,high,ok,0.8330107824163672,0.2206248272048659,0.6123859552115013,0.728699150970355,0.12405780810117027,0.6046413428691847,standing,3617.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,8,108,gaussian_noise,high,ok,0.8086359175662414,0.20461236506378802,0.6040235525024534,0.7743948860888189,0.19207292471251855,0.5823219613763003,nordic_walking,4076.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,9,109,gaussian_noise,high,ok,0.5408163265306123,0.07142857142857142,0.4693877551020409,0.10028382213812678,0.044444444444444446,0.055839377693682336,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,aggregate,aggregate,gaussian_noise,high,ok,0.7590317560184112,0.2041127189642041,0.5549190370542071,0.7502026135064113,0.16295185623515762,0.5872507572712536,cycling,30199.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,1,101,random_channel_dropout,low,ok,0.7298480556270924,0.149111511717744,0.5807365439093484,0.7062924980704636,0.08119271141373177,0.6250997866567318,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,2,102,random_channel_dropout,low,ok,0.5181929181929182,0.12014652014652015,0.3980463980463981,0.46975613180894665,0.08190194136174515,0.3878541904472015,ironing,4095.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,3,103,random_channel_dropout,low,ok,0.8190546528803545,0.15620384047267355,0.662850812407681,0.5843066342812221,0.09226565274359258,0.49204098153762954,walking,2708.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,4,104,random_channel_dropout,low,ok,0.756321200333426,0.07252014448457905,0.683801055848847,0.6696159708693413,0.013597677538410258,0.6560182933309311,standing,3599.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,5,105,random_channel_dropout,low,ok,0.8236543909348442,0.17752596789423986,0.6461284230406044,0.8116503185324104,0.11675178190639551,0.694898536626015,nordic_walking,4236.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,6,106,random_channel_dropout,low,ok,0.8168253151530743,0.19140725495240546,0.6254180602006689,0.7502496755864897,0.12588181903305984,0.6243678565534299,nordic_walking,3887.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,7,107,random_channel_dropout,low,ok,0.8330107824163672,0.1092065247442632,0.723804257672104,0.728699150970355,0.026957195112363535,0.7017419558579915,standing,3617.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,8,108,random_channel_dropout,low,ok,0.8086359175662414,0.16069676153091267,0.6479391560353287,0.7743948860888189,0.11773309991804248,0.6566617861707764,nordic_walking,4076.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,9,109,random_channel_dropout,low,ok,0.5408163265306123,0.0,0.5408163265306123,0.10028382213812678,0.0,0.10028382213812678,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,gaussian_nb,aggregate,aggregate,random_channel_dropout,low,ok,0.7590317560184112,0.14242193450114243,0.6166098215172688,0.7502026135064113,0.08859237782013163,0.6616102356862796,cycling,30199.0,
