dataset,feature_set,protocol,family,model,fold,test_subject,calibration_percentage,fine_tuning_strategy,uncalibrated_accuracy,calibrated_accuracy,accuracy_improvement,uncalibrated_macro_f1,calibrated_macro_f1,macro_f1_improvement,n_calibration_samples,n_eval_samples,checkpoint_path,status
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,8,108,0.05,refit_train_plus_subject_shots,0.12138429752066116,0.12138429752066116,0.0,0.018040841394134807,0.018040841394134807,0.0,204,3872,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,8,108,0.1,refit_train_plus_subject_shots,0.12186477644492912,0.12186477644492912,0.0,0.018104495747266098,0.018104495747266098,0.0,408,3668,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,9,109,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0,98,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,9,109,0.01,refit_train_plus_subject_shots,0.0,0.0,0.0,0.0,0.0,0.0,1,97,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,9,109,0.05,refit_train_plus_subject_shots,0.0,0.0,0.0,0.0,0.0,0.0,5,93,,ok
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,9,109,0.1,refit_train_plus_subject_shots,0.0,0.0,0.0,0.0,0.0,0.0,10,88,,ok
pamap2,acc16_hr,loso,baseline,gaussian_nb,1,101,0.0,none,0.7298480556270924,0.7298480556270924,0.0,0.7062924980704636,0.7062924980704636,0.0,0,3883,,ok
pamap2,acc16_hr,loso,baseline,gaussian_nb,1,101,0.01,refit_train_plus_subject_shots,0.7289281997918835,0.7315296566077003,0.002601456815816805,0.7059554819734312,0.7083283852321028,0.002372903258671677,39,3844,,ok
pamap2,acc16_hr,loso,baseline,gaussian_nb,1,101,0.05,refit_train_plus_subject_shots,0.7294659799403632,0.7679587964217945,0.038492816481431325,0.7062733841570283,0.7488448337481773,0.042571449591149,194,3689,,ok
pamap2,acc16_hr,loso,baseline,gaussian_nb,1,101,0.1,refit_train_plus_subject_shots,0.7293276108726753,0.7742489270386266,0.0449213161659513,0.7057591680778817,0.7554253054471528,0.04966613736927106,388,3495,,ok
