Dataset,Perturbation,Severity,Model,Clean_Accuracy,Perturbed_Accuracy,Accuracy_Drop,Clean_Macro_F1,Perturbed_Macro_F1,Macro_F1_Drop,Most_Affected_Class
pamap2,remove_one_sensor_node,low,CNN1D,0.7395840255166456,0.5323941790152169,0.2071898465014287,0.7469340415499759,0.5363449453121911,0.2105890962377847,house_cleaning
pamap2,remove_one_sensor_node,medium,CNN1D,0.7395840255166456,0.5323941790152169,0.2071898465014287,0.7469340415499759,0.5363449453121911,0.2105890962377847,house_cleaning
pamap2,remove_one_sensor_node,high,CNN1D,0.7395840255166456,0.5323941790152169,0.2071898465014287,0.7469340415499759,0.5363449453121911,0.2105890962377847,house_cleaning
pamap2,remove_heart_rate_channel,low,CNN1D,0.7395840255166456,not_applicable,not_applicable,0.7469340415499759,not_applicable,not_applicable,not_applicable
pamap2,remove_heart_rate_channel,medium,CNN1D,0.7395840255166456,not_applicable,not_applicable,0.7469340415499759,not_applicable,not_applicable,not_applicable
pamap2,remove_heart_rate_channel,high,CNN1D,0.7395840255166456,not_applicable,not_applicable,0.7469340415499759,not_applicable,not_applicable,not_applicable
pamap2,gaussian_noise,low,CNN1D,0.7395840255166456,0.7395840255166456,0.0,0.7469340415499759,0.7468597746189022,7.426693107370763e-05,computer_work
pamap2,gaussian_noise,medium,CNN1D,0.7395840255166456,0.733337763306532,0.0062462622101135,0.7469340415499759,0.7411687590668145,0.0057652824831614,lying
pamap2,gaussian_noise,high,CNN1D,0.7395840255166456,0.7066914745165792,0.0328925510000663,0.7469340415499759,0.7186393809063203,0.0282946606436556,lying
pamap2,mask_random_channels,low,CNN1D,0.7395840255166456,0.7001794139145459,0.0394046116020997,0.7469340415499759,0.7007882820064867,0.0461457595434892,walking
pamap2,mask_random_channels,medium,CNN1D,0.7395840255166456,0.4995016280151505,0.240082397501495,0.7469340415499759,0.455024120407612,0.2919099211423639,walking
pamap2,mask_random_channels,high,CNN1D,0.7395840255166456,0.2856003721177487,0.4539836533988969,0.7469340415499759,0.2606819444274525,0.4862520971225233,walking
pamap2,remove_random_windows,low,CNN1D,0.7395840255166456,0.7386956841408719,0.0008883413757736,0.7469340415499759,0.7460350840820764,0.0008989574678994,sitting
pamap2,remove_random_windows,medium,CNN1D,0.7395840255166456,0.7353500761035008,0.0042339494131448,0.7469340415499759,0.7420308238350368,0.004903217714939,sitting
pamap2,remove_random_windows,high,CNN1D,0.7395840255166456,0.7390438247011952,0.0005402008154503,0.7469340415499759,0.7460930234310336,0.0008410181189423,sitting
