Dataset,Model,Accuracy_Mean,Accuracy_SD,Accuracy_CI95_Lower,Accuracy_CI95_Upper,Macro_F1_Mean,Macro_F1_SD,Macro_F1_CI95_Lower,Macro_F1_CI95_Upper,Effect_Size,Wilcoxon_P_Value,Rank_Stability
pamap2,CNN1D,0.7450301836321517,0.1634530696015923,0.638240844825778,0.8518195224385253,0.6537188814514838,0.2516983415074132,0.48927596499997383,0.8181617979029938,4.048237279540203,0.00390625,rank1:9/9
pamap2,Flatten_LSTM,0.7597211751220193,0.10131394202278261,0.6935293996671347,0.825912950576904,0.6809686774125305,0.1472531969954137,0.5847632553755269,0.7771740994495342,6.676156919005447,0.00390625,rank1:4/9; rank2:5/9
pamap2,Improved_GNN_LSTM,0.729059549866129,0.2741699529372032,0.5499351806138228,0.9081839191184351,0.6756371444982044,0.2579053391461696,0.5071389895893736,0.8441352994070352,2.355204084412029,0.0078125,rank1:4/9; rank2:4/9; rank3:1/9
