epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.5457924116999265,0.25044121103835365,0.8274118201688595,0.9266394961096702,0.8083255254027212,0.6183467257631753
2,0.25457863913336215,0.2805361878848471,0.927870398148545,0.9214523897739904,0.9243353983503168,0.6148998269771122
3,0.1975627175589818,0.478797192494077,0.944584922641752,0.8984809188588366,0.942219570133906,0.6012852710384476
4,0.16995133109175517,0.20496399054819114,0.9516993099901427,0.945905891070767,0.94874953365539,0.6295674836765595
5,0.1482212039005521,0.24716714810655585,0.9573565336647666,0.9373842163764358,0.9556490469046096,0.6237433457056237
6,0.12619331566477113,0.2954567290834273,0.9636566236660524,0.9355316783994072,0.9609914530459186,0.6235625842581483
7,0.11556274723093954,0.2557330932729776,0.9657137959113702,0.9388662467580585,0.9633586080245539,0.6254782140568896
8,0.10078986761764619,0.6794309055474796,0.9716281661166588,0.9121896998888477,0.9696362832957236,0.6100286603938857
9,0.09545703265632051,0.5618324677221522,0.9731281875455363,0.9070025935531678,0.9717813279578245,0.6052315064298527
10,0.08116265985973027,0.30031649534032706,0.9765996657095102,0.9407187847350871,0.9747190766340325,0.6259220772727562
11,0.05179773895131425,0.306644559360607,0.9840140573436763,0.9418303075213041,0.9826560451663197,0.6259658171986412
12,0.04351676750308128,0.4291565371420687,0.986714095915656,0.9366432011856243,0.9858611375283207,0.6233015441663454
