epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.46823377658976684,0.3097652406916547,0.8622980328290404,0.9225639125602075,0.851284889715335,0.6144387407956277
2,0.2352707425006823,0.2711879123091489,0.9385848369262418,0.9214523897739904,0.9364748684196792,0.6157958435451206
3,0.1878767740186573,0.5447009315120043,0.9505421506021514,0.8973693960726195,0.9481315457904272,0.6002937150451322
4,0.15572012163656684,0.29409699738832035,0.9599279989714139,0.9129307150796592,0.9577405226120307,0.6108229182551349
5,0.12889343722612184,0.290776546310396,0.9639137701967171,0.933308632826973,0.9610074506695102,0.6195973441727511
6,0.11082631982105973,0.4335889826290522,0.9687138387691253,0.9170062986291219,0.9663261804016138,0.6112959586807997
7,0.09736687475194347,0.3351559829438316,0.9727424677495393,0.9247869581326417,0.970285294402513,0.617022329985506
8,0.08203001077551321,0.680601864278809,0.9759567993828483,0.9040385327899222,0.9736831429028313,0.6044590415013625
9,0.0550651314995366,0.7694610475722282,0.9837997685681225,0.8988514264542423,0.9816974881102131,0.6013609924210663
10,0.046445216192354984,0.9631642346781748,0.9861569450992157,0.8947758429047795,0.9840325475647861,0.5982527365371367
11,0.04179545936126389,0.4779036944483406,0.9873998199974285,0.9329381252315673,0.9855508789279194,0.6216608766938941
12,0.0404903416335356,0.8958462614815037,0.9885998371405306,0.8958873656909967,0.9875095024816393,0.598364768907417
13,0.03598783652232418,0.5186376434639354,0.9893712767325248,0.9310855872545387,0.9880552425196556,0.6197085821329855
14,0.03200084024593762,0.9416159086664688,0.9908284404062915,0.895516858095591,0.9898051097659407,0.6001369861399879
15,0.021409932466250226,1.138817030484727,0.9939999142844897,0.8921822897369396,0.9935958113417027,0.5993385154137925
16,0.019453344578821315,1.1048537726529521,0.99455706510093,0.8944053353093738,0.9942389305395115,0.5997737069260002
17,0.017932130827155602,1.1757750897172499,0.9947284961213732,0.8910707669507225,0.9944106542361543,0.5970765603058202
18,0.01697995149553654,1.0741272081604973,0.9951142159173703,0.8936643201185624,0.9949458421612104,0.5980853676441741
19,0.013769674277312616,1.192328790609865,0.9960142287746968,0.886624675805854,0.995874018580755,0.5945162235088283
