dataset,eval_protocol,model,subject,n_predictions,n_true_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,dominant_confusion
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,109,89,1,1.0,1.0,0.08333333333333333,1.0,0.08333333333333333,0.08333333333333333,
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,103,2699,8,0.9051500555761393,0.9077926706680544,0.6062441985771077,0.9061982069669136,0.610649357958258,0.6051951137787028,2->1 (99)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,108,4067,12,0.6715023358741087,0.7102032855810737,0.6617978605416214,0.6223586195924071,0.7508977678308947,0.7102032855810737,17->2 (424)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,104,3590,10,0.8345403899721449,0.8420681170406171,0.6842163222453066,0.8147949294803762,0.7380635973106323,0.7017234308671809,3->2 (307)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,102,4086,12,0.7165932452276065,0.7530527942711961,0.7184193492790363,0.6915950236416324,0.8185713132807292,0.7530527942711961,7->16 (340)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,101,3874,12,0.8198244708311823,0.8117096638066,0.8033829179479265,0.8178086604506437,0.8282263776449138,0.8117096638066,13->12 (160)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,106,3878,12,0.9265085095410005,0.8525013770267863,0.8460023414510283,0.9274974175724775,0.8474150320751707,0.8525013770267863,3->2 (76)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,107,3608,11,0.9603658536585366,0.943303814711327,0.8696932396477038,0.9609878346532104,0.8784923881870079,0.8646951634853831,16->17 (36)
pamap2,loso,improved_gnn_lstm_attn_adj_resbn,105,4227,12,0.8798202034539863,0.8806349792702362,0.8697300994053544,0.8784006416238725,0.8812482300319179,0.8806349792702362,16->17 (116)
