dataset,eval_protocol,model,eval_unit,n_samples,n_eval_samples,n_folds,runtime_sec,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,n_nodes,node_feat_dim,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,subject_macro_accuracy_mean,subject_macro_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std,artifact_dir
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,30118,30118,9,1162.1204419136047,928753,928753,0,3.542911529541016,22,23,0.8891692675476459,0.8841602268249685,0.8854896953656567,0.8891585782467433,0.8892408502657164,0.8841602268249685,0.8582745519781554,0.1084799936588754,0.7245011543728097,0.2632796634440361,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,loso,improved_gnn_lstm,sequence,30118,30118,9,1221.4441969394684,928269,928269,0,3.541065216064453,22,23,0.8807025698917591,0.875033616006836,0.8689724524867835,0.8810186479708778,0.8680555579833021,0.875033616006836,0.8582764711508629,0.1013308782910679,0.7137895405125663,0.2639040292642937,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,30118,30118,9,782.1911325454712,466764,466764,0,1.7805633544921875,22,23,0.8496248090842685,0.8495716958229022,0.8410874770383203,0.8524570828505708,0.8424929766083377,0.8495716958229022,0.8706670181491627,0.1255430660135693,0.6851557918125357,0.2676038918545502,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_lstm,sequence,30118,30118,9,1110.9081394672394,246412,246412,0,0.9399871826171876,22,23,0.7814263895344976,0.7622186487698058,0.7599031172077488,0.7834990094676764,0.7690114667467579,0.7622186487698058,0.7706381117538661,0.1208610798139564,0.6209710308533015,0.2448591512989188,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,cnn,window,30199,30199,9,170.67565894126892,302348,302348,0,1.1533660888671875,22,23,0.7398258220470877,0.7422150549385206,0.746107088978157,0.742613894690329,0.7666626123838443,0.7422150549385206,0.7541195278282553,0.1248786449200214,0.5977551785317642,0.2331226497613826,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,gnn_learnable_adj,window,30199,30199,9,578.413850069046,11376,11376,0,0.04339599609375,22,23,0.7631047385675023,0.7415192392506383,0.7428891983309381,0.7660776655339658,0.7515558989193521,0.7415192392506383,0.7746744523370988,0.1156893339348845,0.604574745190911,0.2314270592027026,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_attention_adj,window,30199,30199,9,567.6832304000854,11376,11376,0,0.04339599609375,22,23,0.7527732706381006,0.7245565097425986,0.7257002738083815,0.7550166701703277,0.7301100226738306,0.7245565097425986,0.6988144077624215,0.218879058182718,0.5914197103602898,0.2454754096799065,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,lstm,window,30199,30199,9,231.7589056491852,217420,217420,0,0.8293914794921875,22,23,0.7003874300473526,0.7030270978862557,0.7003222111778321,0.7025870670817372,0.7216234594960439,0.7030270978862557,0.7203169368708395,0.1398123567635108,0.556031143175168,0.2157921537094436,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\lstm\window
pamap2,loso,gnn,window,30199,30199,9,557.2092931270599,10892,10892,0,0.0415496826171875,22,23,0.7258518493989867,0.6919823998758511,0.6928273823197402,0.7287024702722347,0.7023353359587725,0.6919823998758511,0.680873391488091,0.1978916039928975,0.5674008248418043,0.2350993538083398,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn\window
