dataset,feature_set,window_type,window_size,stride,protocol,model_family,model,fold,test_subject,seed,n_samples,total_sec,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,random_forest,aggregate,aggregate,42,30199,,0.8801284810755323,0.8784926496794939,0.8815293401735472,0.8805258830714424,0.8852873686875414,0.8784926496794939
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,knn_k5,aggregate,aggregate,42,30199,,0.8280737772773933,0.8206562743153941,0.8339330814898723,0.8287129189437776,0.8600004997269396,0.8206562743153941
