dataset,model,eval_unit,metric,folds,mean,std,ci95_half_width,ci95_low,ci95_high
pamap2,cnn,window,accuracy,9,0.7150360598872961,0.18252835754120988,0.11925186026025712,0.595784199627039,0.8342879201475533
pamap2,cnn,window,macro_f1,9,0.5623422540628219,0.2576367720184004,0.16832269105202158,0.3940195630108003,0.7306649451148435
pamap2,cnn,window,balanced_accuracy,9,0.7140842204418522,0.1633065524272336,0.10669361425245928,0.6073906061893929,0.8207778346943114
pamap2,gnn,window,accuracy,9,0.6465762675609733,0.19880469624410027,0.12988573487947883,0.5166905326814945,0.7764620024404522
pamap2,gnn,window,macro_f1,9,0.5435347154977177,0.23035735998512116,0.15050014185694582,0.3930345736407719,0.6940348573546635
pamap2,gnn,window,balanced_accuracy,9,0.6248749751842854,0.18214733937388994,0.11900292839094141,0.505872046793344,0.7438779035752268
pamap2,gnn_attention_adj,window,accuracy,9,0.6493645151018563,0.217114686635673,0.14184826193530634,0.50751625316655,0.7912127770371626
pamap2,gnn_attention_adj,window,macro_f1,9,0.5531248152113014,0.23863764881602562,0.1559099305598034,0.397214884651498,0.7090347457711048
pamap2,gnn_attention_adj,window,balanced_accuracy,9,0.6275211106604002,0.19956738300701118,0.13038402356458065,0.4971370870958195,0.7579051342249808
pamap2,gnn_flatten_lstm,sequence,accuracy,9,0.8748834708640528,0.086994513681748,0.0568364156054087,0.8180470552586441,0.9317198864694616
pamap2,gnn_flatten_lstm,sequence,macro_f1,9,0.6925839056010151,0.24544280020211548,0.16035596279871545,0.5322279428022997,0.8529398683997306
pamap2,gnn_flatten_lstm,sequence,balanced_accuracy,9,0.8596879120039377,0.08568790394134308,0.05598276390834415,0.8037051480955936,0.9156706759122818
pamap2,gnn_learnable_adj,window,accuracy,9,0.7481686129663224,0.12556255044421608,0.0820341996235545,0.6661344133427679,0.8302028125898769
pamap2,gnn_learnable_adj,window,macro_f1,9,0.5932707749078373,0.2363607814802396,0.15442237723375654,0.4388483976740808,0.7476931521415938
pamap2,gnn_learnable_adj,window,balanced_accuracy,9,0.7326958211563371,0.10117237210014045,0.0660992831054251,0.666596538050912,0.7987951042617623
pamap2,gnn_lstm,sequence,accuracy,9,0.7585624196859374,0.14139070543668872,0.09237526088530329,0.6661871588006341,0.8509376805712408
pamap2,gnn_lstm,sequence,macro_f1,9,0.6098883168855065,0.2434613952453825,0.1590614448936499,0.45082687199185656,0.7689497617791564
pamap2,gnn_lstm,sequence,balanced_accuracy,9,0.7346984162567509,0.13602895361343503,0.0888722496941109,0.64582616656264,0.8235706659508618
pamap2,improved_gnn_lstm,sequence,accuracy,9,0.8493702130702675,0.10333209560814983,0.06751030246399123,0.7818599106062762,0.9168805155342588
pamap2,improved_gnn_lstm,sequence,macro_f1,9,0.679051007733412,0.25476932666251895,0.16644929341951237,0.5126017143138997,0.8455003011529243
pamap2,improved_gnn_lstm,sequence,balanced_accuracy,9,0.8400881204882992,0.09334477983664394,0.06098525615994071,0.7791028643283585,0.9010733766482398
pamap2,improved_gnn_lstm_attn_adj,sequence,accuracy,9,0.8506315253182749,0.11464176299230172,0.07489928515497045,0.7757322401633044,0.9255308104732454
pamap2,improved_gnn_lstm_attn_adj,sequence,macro_f1,9,0.6647742556729104,0.24825401343418163,0.162192622110332,0.5025816335625783,0.8269668777832424
pamap2,improved_gnn_lstm_attn_adj,sequence,balanced_accuracy,9,0.8400034605938091,0.11449638822507914,0.07480430697371837,0.7651991536200908,0.9148077675675275
pamap2,lstm,window,accuracy,9,0.6395435788217838,0.15246398533380712,0.09960980375142064,0.5399337750703632,0.7391533825732044
pamap2,lstm,window,macro_f1,9,0.5039035380861403,0.20655337859898013,0.13494820735133367,0.36895533073480663,0.638851745437474
pamap2,lstm,window,balanced_accuracy,9,0.6282929239032258,0.11799308919289188,0.07708881827268936,0.5512041056305365,0.7053817421759151
