dataset,eval_protocol,model,eval_unit,fold,fold_subject,test_subject,validation_subject,n_train_windows,n_val_windows,n_test_windows,n_test_windows_raw,n_train_eval_samples,n_val_eval_samples,n_test_eval_samples,n_test_predictions,n_test_classes,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,artifact_dir
pamap2,loso,gnn,window,7,107,107,108,22506,4076,3617,3617,22506,4076,3617,3617,11,10892,10892,0,0.0415496826171875,0.7923693668786287,0.7510775128830012,0.694190560594384,0.7805479952308595,0.7526262553023352,0.6884877201427511,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,8,108,108,109,26025,98,4076,4076,26025,98,4076,4076,12,10892,10892,0,0.0415496826171875,0.4136408243375858,0.4085769689806071,0.3560158225910248,0.3638746579837068,0.4415682922845994,0.4085769689806071,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,9,109,109,101,26218,3883,98,98,26218,3883,98,98,1,10892,10892,0,0.0415496826171875,0.2448979591836734,0.2448979591836734,0.0327868852459016,0.3934426229508196,0.0833333333333333,0.0204081632653061,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn_attention_adj,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,11061,11061,0,0.0421943664550781,0.6373937677053825,0.6229008117777813,0.5955367690170013,0.6097369865255131,0.6675029617681947,0.6229008117777813,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,2,102,102,103,23396,2708,4095,4095,23396,2708,4095,4095,12,11061,11061,0,0.0421943664550781,0.6451770451770452,0.6633821054662788,0.63833794220695,0.6239052433091846,0.7253839690216447,0.6633821054662788,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,3,103,103,104,23892,3599,2708,2708,23892,3599,2708,2708,8,11061,11061,0,0.0421943664550781,0.7592319054652881,0.7063475085495012,0.4898375266177818,0.7703194237330544,0.5370078700987401,0.4708983390330008,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,4,104,104,105,22364,4236,3599,3599,22364,4236,3599,3599,10,11061,11061,0,0.0421943664550781,0.7007502083912198,0.7055834138259895,0.5618608447749363,0.6882817989067244,0.6194916607250649,0.5879861781883245,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,5,105,105,106,22076,3887,4236,4236,22076,3887,4236,4236,12,11061,11061,0,0.0421943664550781,0.8536355051935789,0.82414483999342,0.8307102602603216,0.8532987414411839,0.8427859499042188,0.82414483999342,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,6,106,106,107,22695,3617,3887,3887,22695,3617,3887,3887,12,11061,11061,0,0.0421943664550781,0.8193979933110368,0.7296180547146743,0.7364711824770436,0.8179776261239698,0.7633263771927075,0.7296180547146743,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,7,107,107,108,22506,4076,3617,3617,22506,4076,3617,3617,11,11061,11061,0,0.0421943664550781,0.8067459220348355,0.7679927927304292,0.7123197593960455,0.8099440524736968,0.7472251698259108,0.7039933933362268,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,8,108,108,109,26025,98,4076,4076,26025,98,4076,4076,12,11061,11061,0,0.0421943664550781,0.4484789008832188,0.4542510811304257,0.3884113709922125,0.3964514455696831,0.4361197374497517,0.4542510811304257,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,9,109,109,101,26218,3883,98,98,26218,3883,98,98,1,11061,11061,0,0.0421943664550781,0.173469387755102,0.173469387755102,0.0246376811594202,0.2956521739130435,0.0833333333333333,0.0144557823129251,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_flatten_lstm,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,360780,360780,0,1.3762664794921875,0.8848735157459989,0.8846889814052363,0.8740374751720658,0.8759493985247616,0.8926777551189322,0.8846889814052363,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,360780,360780,0,1.3762664794921875,0.7300538423886441,0.7536490590661601,0.7405197706296777,0.72399452472568,0.8678897055505579,0.7536490590661601,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,360780,360780,0,1.3762664794921875,0.9351611708040016,0.9268348762493824,0.6213130921539199,0.9362959916563668,0.6265996353818877,0.6178899174995883,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,360780,360780,0,1.3762664794921875,0.8417827298050139,0.8497035157875252,0.6952059689455689,0.8291003858129699,0.7432456106942088,0.7080862631562711,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,360780,360780,0,1.3762664794921875,0.8847882659096286,0.8595929175453051,0.8661509345044176,0.8835606925529736,0.8894733054454983,0.8595929175453051,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,360780,360780,0,1.3762664794921875,0.9092315626611656,0.8367190603195058,0.8324280303141381,0.910094245519018,0.8368639182745268,0.8367190603195058,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,7,107,107,108,22506,4076,3617,3617,22443,4067,3608,3608,11,360780,360780,0,1.3762664794921875,0.9332039911308204,0.9070421347975672,0.8364015809852344,0.9337931910778138,0.8455792683910723,0.8314552902311033,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,8,108,108,109,26025,98,4076,4076,25962,89,4067,4067,12,360780,360780,0,1.3762664794921875,0.7548561593312023,0.7189606628647566,0.6838649643707804,0.749681120772171,0.7918923473136749,0.7189606628647566,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,9,109,109,101,26218,3883,98,98,26155,3874,89,89,1,360780,360780,0,1.3762664794921875,1.0,1.0,0.0833333333333333,1.0,0.0833333333333333,0.0833333333333333,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_learnable_adj,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,11061,11061,0,0.0421943664550781,0.7713108421323719,0.7713243133995165,0.746927337637371,0.7498931083647443,0.7989780804163348,0.7713243133995165,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,2,102,102,103,23396,2708,4095,4095,23396,2708,4095,4095,12,11061,11061,0,0.0421943664550781,0.5794871794871795,0.6248745287970191,0.5797552174760684,0.535838610429045,0.6965208127268513,0.6248745287970191,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,3,103,103,104,23892,3599,2708,2708,23892,3599,2708,2708,8,11061,11061,0,0.0421943664550781,0.7621861152141802,0.6996112180575331,0.4839507687351277,0.7705580711606085,0.5420151068632969,0.4664074787050221,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,4,104,104,105,22364,4236,3599,3599,22364,4236,3599,3599,10,11061,11061,0,0.0421943664550781,0.7668796888024452,0.7718787307286973,0.628790375454153,0.7639503641080824,0.6653531273341443,0.6432322756072477,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,5,105,105,106,22076,3887,4236,4236,22076,3887,4236,4236,12,11061,11061,0,0.0421943664550781,0.8557601510859302,0.8337424554861711,0.8400237789674101,0.8548574346331536,0.8580163609066295,0.8337424554861711,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,6,106,106,107,22695,3617,3887,3887,22695,3617,3887,3887,12,11061,11061,0,0.0421943664550781,0.8700797530228969,0.77762452018441,0.7811427283733545,0.8717139884463364,0.7910389276291957,0.77762452018441,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,7,107,107,108,22506,4076,3617,3617,22506,4076,3617,3617,11,11061,11061,0,0.0421943664550781,0.8396461155653857,0.8094269034081703,0.7497737426068967,0.8424693112409071,0.7788475431835699,0.7419746614574895,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,8,108,108,109,26025,98,4076,4076,26025,98,4076,4076,12,11061,11061,0,0.0421943664550781,0.5024533856722276,0.5200654346312316,0.4557396915868207,0.4413681011732491,0.5817206127421498,0.5200654346312316,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,9,109,109,101,26218,3883,98,98,26218,3883,98,98,1,11061,11061,0,0.0421943664550781,0.7857142857142857,0.7857142857142857,0.0733333333333333,0.8799999999999999,0.0833333333333333,0.0654761904761904,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_lstm,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,246412,246412,0,0.9399871826171876,0.6966959215281363,0.6950843014732885,0.6463275142269312,0.6430319287520023,0.7840091455867829,0.6950843014732885,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,246412,246412,0,0.9399871826171876,0.819627998042095,0.8034977597517069,0.7989144032666706,0.813544659326785,0.8362291256222535,0.8034977597517069,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_lstm\sequence
