Dataset,Model,Fine_Grained_Accuracy,Group_Level_Accuracy,Fine_Grained_Macro_F1,Group_Level_Macro_F1
hhar,CNN1D,0.6131111111111112,0.6585777777777778,0.6066841883099187,0.658520699655458
hhar,Flatten_LSTM,0.5284444444444445,0.5651111111111111,0.5002440660184072,0.5681284323166454
hhar,Improved_GNN_LSTM,0.534,0.5868888888888889,0.5088553702795129,0.5853386438758907
