dataset,feature_set,protocol,family,model,fold,test_subject,calibration_percentage,fine_tuning_strategy,uncalibrated_accuracy,calibrated_accuracy,accuracy_improvement,uncalibrated_macro_f1,calibrated_macro_f1,macro_f1_improvement,n_calibration_samples,n_eval_samples,checkpoint_path,status
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,0.01,refit_train_plus_subject_shots,0.7925650557620818,0.8322180916976456,0.039653035935563796,0.7798423360141152,0.8197338024353562,0.03989146642124097,41,4035,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,0.05,refit_train_plus_subject_shots,0.793646694214876,0.887396694214876,0.09375,0.7810628957442831,0.8751282187655932,0.0940653230213101,204,3872,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,0.1,refit_train_plus_subject_shots,0.7944383860414395,0.9059432933478735,0.11150490730643403,0.7822707704747627,0.8990482692589677,0.11677749878420507,408,3668,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,0.0,none,0.6632653061224489,0.6632653061224489,0.0,0.11393514460999123,0.11393514460999123,0.0,0,98,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,0.01,refit_train_plus_subject_shots,0.6701030927835051,0.7010309278350515,0.030927835051546393,0.11463844797178131,0.11774891774891774,0.0031104697771364292,1,97,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,0.05,refit_train_plus_subject_shots,0.6881720430107527,0.7634408602150538,0.07526881720430101,0.1164695177434031,0.12369337979094076,0.007223862047537666,5,93,,ok
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,0.1,refit_train_plus_subject_shots,0.6931818181818182,0.8522727272727273,0.15909090909090906,0.11697027804410355,0.15337423312883436,0.03640395508473081,10,88,,ok
pamap2,acc16_hr,loso,baseline,random_forest,1,101,0.0,none,0.7746587689930466,0.7746587689930466,0.0,0.7568456652632939,0.7568456652632939,0.0,0,3883,,ok
pamap2,acc16_hr,loso,baseline,random_forest,1,101,0.01,refit_train_plus_subject_shots,0.7741935483870968,0.8054110301768991,0.031217481789802326,0.7561756272355957,0.7929409428016599,0.036765315566064216,39,3844,,ok
pamap2,acc16_hr,loso,baseline,random_forest,1,101,0.05,refit_train_plus_subject_shots,0.775548929249119,0.8820818650040662,0.10653293575494716,0.7573617024977234,0.8761375596162759,0.11877585711855254,194,3689,,ok
pamap2,acc16_hr,loso,baseline,random_forest,1,101,0.1,refit_train_plus_subject_shots,0.776824034334764,0.894134477825465,0.11731044349070097,0.7590359450781231,0.889355063755504,0.13031911867738089,388,3495,,ok
pamap2,acc16_hr,loso,baseline,random_forest,2,102,0.0,none,0.8241758241758241,0.8241758241758241,0.0,0.8091207946905379,0.8091207946905379,0.0,0,4095,,ok
pamap2,acc16_hr,loso,baseline,random_forest,2,102,0.01,refit_train_plus_subject_shots,0.8226443019240256,0.8443512580167736,0.021706956092747975,0.808117529247084,0.8288109332564414,0.020693404009357375,41,4054,,ok
pamap2,acc16_hr,loso,baseline,random_forest,2,102,0.05,refit_train_plus_subject_shots,0.8215938303341902,0.8881748071979434,0.0665809768637532,0.8072933709937343,0.8778763090589646,0.0705829380652303,205,3890,,ok
pamap2,acc16_hr,loso,baseline,random_forest,2,102,0.1,refit_train_plus_subject_shots,0.8206241519674355,0.9069199457259158,0.08629579375848029,0.8077217811762362,0.8994597878820237,0.09173800670578758,410,3685,,ok
pamap2,acc16_hr,loso,baseline,random_forest,3,103,0.0,none,0.9110044313146234,0.9110044313146234,0.0,0.7252591375176795,0.7252591375176795,0.0,0,2708,,ok
pamap2,acc16_hr,loso,baseline,random_forest,3,103,0.01,refit_train_plus_subject_shots,0.9112271540469974,0.9097351734427452,-0.0014919806042521522,0.7256084524180464,0.7235131544462041,-0.0020952979718422693,27,2681,,ok
pamap2,acc16_hr,loso,baseline,random_forest,3,103,0.05,refit_train_plus_subject_shots,0.9117761368052857,0.9109988340458609,-0.0007773027594247806,0.7263851292181889,0.6575793059692533,-0.06880582324893558,135,2573,,ok
pamap2,acc16_hr,loso,baseline,random_forest,3,103,0.1,refit_train_plus_subject_shots,0.913007796471071,0.9228559704554781,0.009848173984407071,0.7275593259137958,0.7341363097313273,0.006576983817531468,271,2437,,ok
pamap2,acc16_hr,loso,baseline,random_forest,4,104,0.0,none,0.7596554598499583,0.7596554598499583,0.0,0.6274965458620146,0.6274965458620146,0.0,0,3599,,ok
pamap2,acc16_hr,loso,baseline,random_forest,4,104,0.01,refit_train_plus_subject_shots,0.7603143418467584,0.8237440359247825,0.06342969407802412,0.6280864205217477,0.6844938238068217,0.05640740328507399,36,3563,,ok
pamap2,acc16_hr,loso,baseline,random_forest,4,104,0.05,refit_train_plus_subject_shots,0.7601637905820415,0.8903188066686165,0.13015501608657498,0.6280767093326817,0.7393426123480774,0.11126590301539574,180,3419,,ok
pamap2,acc16_hr,loso,baseline,random_forest,4,104,0.1,refit_train_plus_subject_shots,0.759493670886076,0.9147885149737573,0.15529484408768135,0.6277093831766304,0.7605974027429973,0.13288801956636687,360,3239,,ok
pamap2,acc16_hr,loso,baseline,random_forest,5,105,0.0,none,0.8954202077431539,0.8954202077431539,0.0,0.8884028337631401,0.8884028337631401,0.0,0,4236,,ok
pamap2,acc16_hr,loso,baseline,random_forest,5,105,0.01,refit_train_plus_subject_shots,0.8953266571292322,0.8989031950405341,0.003576537911301858,0.8884284170074309,0.893153545261145,0.004725128253714073,42,4194,,ok
pamap2,acc16_hr,loso,baseline,random_forest,5,105,0.05,refit_train_plus_subject_shots,0.8943836978131213,0.9167495029821073,0.022365805168986008,0.8876788513159243,0.9126172282778612,0.024938376961936903,212,4024,,ok
pamap2,acc16_hr,loso,baseline,random_forest,5,105,0.1,refit_train_plus_subject_shots,0.8953305351521511,0.9247114375655824,0.029380902413431276,0.8885954875426858,0.9207741880004933,0.03217870045780746,424,3812,,ok
pamap2,acc16_hr,loso,baseline,random_forest,6,106,0.0,none,0.853357344996141,0.853357344996141,0.0,0.7744691234662614,0.7744691234662614,0.0,0,3887,,ok
pamap2,acc16_hr,loso,baseline,random_forest,6,106,0.01,refit_train_plus_subject_shots,0.8542099792099792,0.8965696465696466,0.04235966735966734,0.7751170275903476,0.8162000356380043,0.04108300804765663,39,3848,,ok
pamap2,acc16_hr,loso,baseline,random_forest,6,106,0.05,refit_train_plus_subject_shots,0.8537774167343624,0.9163281884646629,0.06255077173030055,0.7739454848062727,0.8335367918139892,0.05959130700771653,194,3693,,ok
pamap2,acc16_hr,loso,baseline,random_forest,6,106,0.1,refit_train_plus_subject_shots,0.8544882790165809,0.9256718124642653,0.07118353344768447,0.7752680298709924,0.8432990721776056,0.06803104230661317,389,3498,,ok
pamap2,acc16_hr,loso,baseline,random_forest,7,107,0.0,none,0.8869228642521426,0.8869228642521426,0.0,0.8032710039486037,0.8032710039486037,0.0,0,3617,,ok
pamap2,acc16_hr,loso,baseline,random_forest,7,107,0.01,refit_train_plus_subject_shots,0.88718235129852,0.9165037698966769,0.029321418598156956,0.8033315674198468,0.8286017707484632,0.025270203328616403,36,3581,,ok
pamap2,acc16_hr,loso,baseline,random_forest,7,107,0.05,refit_train_plus_subject_shots,0.8867869615832363,0.9234575087310827,0.036670547147846344,0.8025849628842882,0.8348066978752441,0.03222173499095593,181,3436,,ok
pamap2,acc16_hr,loso,baseline,random_forest,7,107,0.1,refit_train_plus_subject_shots,0.8847926267281107,0.9259600614439324,0.04116743471582174,0.8011420958092831,0.8382293053424422,0.03708720953315914,362,3255,,ok
pamap2,acc16_hr,loso,baseline,random_forest,8,108,0.0,none,0.9259077526987243,0.9259077526987243,0.0,0.9091272800276397,0.9091272800276397,0.0,0,4076,,ok
pamap2,acc16_hr,loso,baseline,random_forest,8,108,0.01,refit_train_plus_subject_shots,0.9256505576208178,0.9268897149938042,0.0012391573729864103,0.9089218400620815,0.9106938349241419,0.0017719948620603665,41,4035,,ok
pamap2,acc16_hr,loso,baseline,random_forest,8,108,0.05,refit_train_plus_subject_shots,0.9256198347107438,0.9325929752066116,0.0069731404958677246,0.9091592172405046,0.9181631592366138,0.00900394199610921,204,3872,,ok
pamap2,acc16_hr,loso,baseline,random_forest,8,108,0.1,refit_train_plus_subject_shots,0.9263904034896401,0.9446564885496184,0.018266085059978288,0.9096919932076749,0.9316910262063126,0.021999032998637702,408,3668,,ok
pamap2,acc16_hr,loso,baseline,random_forest,9,109,0.0,none,0.826530612244898,0.826530612244898,0.0,0.18100558659217877,0.18100558659217877,0.0,0,98,,ok
pamap2,acc16_hr,loso,baseline,random_forest,9,109,0.01,refit_train_plus_subject_shots,0.8247422680412371,0.8762886597938144,0.05154639175257736,0.1807909604519774,0.23351648351648352,0.05272552306450612,1,97,,ok
pamap2,acc16_hr,loso,baseline,random_forest,9,109,0.05,refit_train_plus_subject_shots,0.8387096774193549,0.8817204301075269,0.043010752688172005,0.18245614035087718,0.2342857142857143,0.051829573934837114,5,93,,ok
pamap2,acc16_hr,loso,baseline,random_forest,9,109,0.1,refit_train_plus_subject_shots,0.8522727272727273,0.8863636363636364,0.03409090909090906,0.18404907975460122,0.3132530120481928,0.12920393229359156,10,88,,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,1,101,0.0,none,0.8182756840474962,0.8182756840474962,0.0,0.7961295588149992,0.7961295588149992,0.0,0,3874,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_01_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,1,101,0.01,classifier_head_only,0.8198174706649283,0.8341590612777053,0.014341590612777066,0.7973308567644267,0.8118927964045094,0.014561939640082677,39,3835,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_01_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,1,101,0.01,full_model,0.8198174706649283,0.9199478487614081,0.10013037809647984,0.7973308567644267,0.9168895206815907,0.11955866391716397,39,3835,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_01_best.pt,ok
