"dataset","feature_set","window_type","window_size","stride","protocol","model_family","model","fold","test_subject","seed","n_samples","total_sec","accuracy","balanced_accuracy","macro_f1","weighted_f1","macro_precision","macro_recall","task","sessions"
"pamap2","acc16_gyro","overlapping","128","64","loso","baselines","random_forest","aggregate","aggregate","42","30199","90.54146766662598","0.8823470975860128","0.8742059468880656","0.8862879673561005","0.8841674440435039","0.9036443340593646","0.8742059468880656","protocol12","protocol"
"pamap2","acc16_gyro","overlapping","128","64","loso","baselines","rbf_svm","aggregate","aggregate","42","30199","121.31592440605164","0.8403589522831881","0.8320948574332873","0.8248514629343999","0.8438408223248977","0.829043050289155","0.8320948574332873","protocol12","protocol"
"pamap2","acc16_gyro","overlapping","128","64","loso","baselines","knn_k5","aggregate","aggregate","42","30199","1.7018985748291016","0.8182390145369052","0.8098069058135907","0.8233229753496407","0.819212400775326","0.8496481772319843","0.8098069058135907","protocol12","protocol"
"pamap2","acc16_gyro","overlapping","128","64","loso","baselines","linear_svm","aggregate","aggregate","42","30199","297.96646761894226","0.8234709758601279","0.8194136920152536","0.8166009694678036","0.8232790586876422","0.8190494013913248","0.8194136920152536","protocol12","protocol"
"pamap2","acc16_gyro","overlapping","128","64","loso","baselines","bagged_tree_entropy","aggregate","aggregate","42","30199","445.7794466018677","0.7989668532070598","0.7933756025822941","0.7961463867620201","0.8025043380875603","0.8112830955991791","0.7933756025822941","protocol12","protocol"
"pamap2","acc16_gyro","overlapping","128","64","loso","baselines","adaboost_tree","aggregate","aggregate","42","30199","2942.6487650871277","0.7733037517798602","0.7522082393419955","0.7695433223233091","0.774773947884261","0.8033082257084451","0.7522082393419955","protocol12","protocol"
"pamap2","acc16_gyro","overlapping","128","64","loso","baselines","gaussian_nb","aggregate","aggregate","42","30199","1.8975534439086914","0.7669790390410278","0.7726105844990854","0.7678956564125357","0.7735657917243389","0.7731708775992846","0.7726105844990854","protocol12","protocol"
"pamap2","acc16_gyro","overlapping","128","64","loso","baselines","decision_tree_entropy","aggregate","aggregate","42","30199","109.8691737651825","0.745157124408093","0.7388667043217807","0.736403521415922","0.748118582786384","0.7400407409591011","0.7388667043217807","protocol12","protocol"
"pamap2","acc16_gyro","overlapping","128","64","loso","baselines","dummy_most_frequent","aggregate","aggregate","42","30199","0.1586315631866455","0.11490446703533229","0.07778525738108528","0.03081762574541368","0.0455241507290088","0.019231450210554196","0.07778525738108528","protocol12","protocol"
