epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,1.5660718074309736,0.9785842418916004,0.4822884580539953,0.7638281450990481,0.3712925151889525,0.613829146562372
2,0.8754708866728327,0.7404972917168129,0.7239083167240442,0.8034473887316697,0.6386672212334018,0.7056963944082996
3,0.6962488493445905,0.7223937800343373,0.782161623482515,0.8062773347054284,0.7279166250821997,0.7442097718732176
4,0.5687963866435827,0.6455275045896147,0.8331672404421091,0.8121944944687419,0.8192575769441023,0.7346884649523728
5,0.5081027878823327,0.9201803777605517,0.8519659358579453,0.7092873681502444,0.8464468386449768,0.6440390810212813
6,0.4646381247754243,0.7591142589669624,0.8644229026997644,0.7633136094674556,0.8602130273634527,0.7070932024429731
7,0.42939225406745224,0.7081154148162163,0.87393549556079,0.7661435554412143,0.8697398198257749,0.7116672301386319
8,0.38494825359379214,0.8923365835331386,0.8875702119949266,0.7211216876768716,0.8862194855356758,0.6777421978721229
9,0.3747185272439534,0.7513069808253109,0.8915564413843088,0.7664008232570105,0.8896971982932312,0.691791195293348
10,0.3643101147495981,0.733728181615813,0.895180286283747,0.7887831232312837,0.892845048296851,0.7226136753494729
11,0.29434215172539374,0.9190118387283995,0.9147943468019569,0.7736043220993054,0.9127562427554086,0.7082219300141425
