dataset,model,eval_unit,fold,test_subject,validation_subject,best_epoch,last_epoch,early_stop_metric,early_stop_mode,train_loss_at_best,val_loss_at_best,train_acc_at_best,val_acc_at_best,train_macro_f1_at_best,val_macro_f1_at_best,test_acc,test_macro_f1,test_balanced_accuracy,train_val_loss_gap_at_best,train_val_acc_gap_at_best,train_val_macro_f1_gap_at_best,val_test_macro_f1_gap,val_macro_f1_drop_best_to_last,overfit_risk_score,overfit_flag_f1_gap_gt_0_15,overfit_flag_val_drop_gt_0_10,overfit_flag_val_test_gap_gt_0_15,artifact_dir
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,1,101,102,3,11,val_macro_f1,max,0.1303440190022249,1.819869516406358,0.9648885278454734,0.7655408712677435,0.9611401851147328,0.7314841449977233,0.8198244708311823,0.8033829179479265,0.8117096638066,1.6895254974041332,0.1993476565777299,0.2296560401170094,-0.0718987729502032,0.2529456284521843,0.4826016685691938,True,True,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,2,102,103,9,17,val_macro_f1,max,0.0787508734857722,0.2861649551735129,0.9780996871383876,0.9488699518340126,0.97661347109739,0.6318975851125198,0.7165932452276065,0.7184193492790363,0.7530527942711961,0.2074140816877406,0.0292297353043751,0.3447158859848702,-0.0865217641665164,0.0002700426838349,0.3449859286687051,True,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,3,103,104,4,12,val_macro_f1,max,0.1221623331744694,0.3438782333836256,0.9657560115825254,0.92033426183844,0.9634843835804762,0.7678112149129399,0.9051500555761391,0.6062441985771077,0.9077926706680544,0.2217159002091562,0.0454217497440853,0.1956731686675362,0.1615670163358322,0.0917900017175986,0.4490301867209672,True,False,True,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,4,104,105,7,15,val_macro_f1,max,0.0873733793724764,0.319060282899182,0.9745751311600376,0.9337591672581028,0.9730778796653752,0.9331278820102016,0.8345403899721449,0.6842163222453066,0.8420681170406171,0.2316869035267056,0.0408159639019349,0.0399499976551737,0.2489115597648948,0.021726584829449,0.3105881422495176,False,False,True,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,5,105,106,1,9,val_macro_f1,max,0.3259669318385664,0.1872315765602265,0.9081906146368056,0.948684889118102,0.903286728540062,0.869556902257166,0.8798202034539863,0.8697300994053544,0.8806349792702362,-0.1387353552783398,-0.0404942744812966,0.0337298262828961,-0.0001731971481884,0.0255741590667034,0.0593039853495995,False,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,6,106,107,16,24,val_macro_f1,max,0.0273732510248427,0.2540831068145416,0.9920908448214916,0.962860310421286,0.9919793805823028,0.8696759905027766,0.9265085095410004,0.8460023414510283,0.8525013770267863,0.2267098557896988,0.0292305344002056,0.1223033900795261,0.0236736490517482,0.0332481616104367,0.1792252007417112,False,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,7,107,108,2,10,val_macro_f1,max,0.203919343809789,1.2568982834013476,0.9435904290870204,0.7723137447750185,0.9441248661652972,0.7366682586793797,0.9603658536585366,0.8696932396477038,0.943303814711327,1.0529789395915583,0.1712766843120019,0.2074566074859175,-0.1330249809683241,0.1945405935233455,0.401997201009263,True,True,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,8,108,109,1,9,val_macro_f1,max,0.3241831772537354,0.0019120229669752,0.9093290193359526,1.0,0.905337609033797,0.0833333333333333,0.6715023358741087,0.6617978605416214,0.7102032855810737,-0.3222711542867602,-0.0906709806640474,0.8220042757004636,-0.578464527208288,0.0,0.8220042757004636,True,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,9,109,101,9,17,val_macro_f1,max,0.0407005980006048,0.8451479762377061,0.98833874976104,0.8742901393908106,0.9884417825798256,0.8703220742754612,1.0,0.0833333333333333,1.0,0.8044473782371012,0.1140486103702294,0.1181197083043644,0.7869887409421278,0.0421071609814269,0.9472156102279192,False,False,True,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_res,sequence,1,101,102,1,9,val_macro_f1,max,0.5393264889397666,0.934478155716322,0.8315281162559798,0.8272148800783162,0.8025182963752356,0.7560906855029711,0.8182756840474962,0.7961295588149992,0.8005913035149534,0.3951516667765552,0.0043132361776635,0.0464276108722645,-0.0400388733120281,0.1499386876258757,0.1963662984981402,False,True,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,2,102,103,4,12,val_macro_f1,max,0.1699513310917551,0.2049639905481911,0.9516993099901428,0.945905891070767,0.94874953365539,0.6295674836765595,0.7351933431228586,0.7090376801198429,0.7434008076819527,0.0350126594564359,0.0057934189193757,0.3191820499788306,-0.0794701964432834,0.006265939510214,0.3254479894890446,True,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,3,103,104,4,12,val_macro_f1,max,0.1758400462585393,0.3602224502214075,0.9504805069453188,0.8958217270194986,0.9477095359513252,0.7471514518363284,0.8873656909966654,0.598744236611212,0.8864925871452108,0.1843824039628681,0.0546587799258201,0.2005580841149967,0.1484072152251163,0.083408927307891,0.4323742266480042,True,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,4,104,105,6,14,val_macro_f1,max,0.127689622939525,0.3471708269063131,0.964889466840052,0.9205110007097232,0.9622485606076544,0.919798944187644,0.9323119777158776,0.7788818523798154,0.9347703222579516,0.2194812039667881,0.0443784661303288,0.0424496164200103,0.1409170918078286,0.0099105981492868,0.1932773063771258,False,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,5,105,106,4,12,val_macro_f1,max,0.1548037969498011,0.3657519923109821,0.9573888156998136,0.9221248066013408,0.954855240616196,0.8450701726204679,0.9143600662408328,0.911655473100932,0.9115959625105828,0.2109481953611809,0.0352640090984728,0.1097850679957281,-0.066585300480464,0.0249718845717573,0.1347569525674855,False,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,6,106,107,14,22,val_macro_f1,max,0.0654719874268509,0.2292135301959532,0.9821933545422412,0.960920177383592,0.9825641576783676,0.8712488363585952,0.8880866425992779,0.8171901993311906,0.8271119511221467,0.1637415427691023,0.021273177158649,0.1113153213197725,0.0540586370274045,0.0400653716579484,0.2054393300051255,False,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,7,107,108,2,10,val_macro_f1,max,0.2677512176559607,2.048893807858356,0.9257674998886068,0.6941234325055323,0.9258097435097264,0.605514200367723,0.9478935698447892,0.8589836150933282,0.931416867393716,1.7811425902023952,0.2316440673830744,0.3202955431420035,-0.2534694147256052,0.0766121951453945,0.396907738287398,True,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,8,108,109,10,18,val_macro_f1,max,0.082976851730637,0.0024225007941465,0.976465603574455,1.0,0.9748511955976294,0.0833333333333333,0.4430784361937546,0.3794415481334092,0.4630401806974189,-0.0805543509364905,-0.023534396425545,0.8915178622642961,-0.2961082148000759,0.0,0.8915178622642961,True,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,9,109,101,3,11,val_macro_f1,max,0.1916638481439789,0.3860910520703904,0.9461670808640796,0.895198760970573,0.9435551721315956,0.8905733247417557,0.9213483146067416,0.0799220272904483,0.9213483146067416,0.1944272039264115,0.0509683198935064,0.0529818473898398,0.8106512974513074,0.0455027724908717,0.9091359173320188,False,False,True,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
