epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.6541746356829273,0.3248134778357736,0.8050400720010286,0.8988514264542423,0.7763996773500684,0.6019974976332566
2,0.2513819894070581,0.28958751753430845,0.9305704367205245,0.9266394961096702,0.9242283273525921,0.6184433026313986
3,0.19581102002542203,0.26818445315719114,0.9447134959070844,0.9284920340866988,0.9400913468921458,0.6184791978658062
4,0.17386495658579168,0.23184440506566295,0.9501135730510436,0.9388662467580585,0.945877477538235,0.624049461559267
5,0.1634959286066118,0.2623106751478132,0.9523421763168045,0.9347906632085958,0.9480601432103032,0.6218750556625176
6,0.1627920609985679,0.281036103038354,0.952042172031029,0.9351611708040015,0.9468376378459643,0.6237741093391085
7,0.1536580203839056,0.22370372174867395,0.9550850726438949,0.9436828454983327,0.9512929585332728,0.6273157836379838
8,0.1438896435970756,0.25797941264699525,0.9586851240732011,0.9340496480177843,0.9552671874149034,0.6222515494241402
9,0.13133671745911457,0.25938333779719747,0.9612994471349591,0.9366432011856243,0.9573674179540119,0.6258003284376031
10,0.12951485565641827,0.3586429342672901,0.9622423177473964,0.9055205631715451,0.9588494457790144,0.604195090365474
11,0.1259114852053218,0.28552069733103597,0.9626708952985042,0.9303445720637273,0.959923775996697,0.6192050407937685
12,0.11240805313709601,0.27390379045557517,0.9658423691767025,0.9347906632085958,0.9625724188431088,0.6235028890170967
13,0.11630512258871417,0.3414143004756429,0.9660995157073673,0.9199703593923676,0.9624336465955419,0.614935760113983
14,0.08472702911675489,0.29843784583005784,0.973813911627309,0.9359021859948129,0.9715781820312933,0.6235367476727892
15,0.08121741194113076,0.3485841914364328,0.9750996442806326,0.9229344201556132,0.9728496537188254,0.6156218152216792
