dataset,model,eval_unit,fold,test_subject,validation_subject,best_epoch,last_epoch,early_stop_metric,early_stop_mode,train_loss_at_best,val_loss_at_best,train_acc_at_best,val_acc_at_best,train_macro_f1_at_best,val_macro_f1_at_best,test_acc,test_macro_f1,test_balanced_accuracy,train_val_loss_gap_at_best,train_val_acc_gap_at_best,train_val_macro_f1_gap_at_best,val_test_macro_f1_gap,val_macro_f1_drop_best_to_last,overfit_risk_score,overfit_flag_f1_gap_gt_0_15,overfit_flag_val_drop_gt_0_10,overfit_flag_val_test_gap_gt_0_15,artifact_dir
pamap2,improved_gnn_lstm,sequence,1,101,102,3,11,val_macro_f1,max,0.5045483250277537,0.5729552127395374,0.9532900081234768,0.927802251590798,0.9505783409794804,0.9211966584222354,0.908363448631905,0.9081188177458408,0.9082392155162026,0.0684068877117837,0.0254877565326789,0.029381682557245,0.0130778406763946,0.2102694007970321,0.2527289240306718,False,True,False,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,improved_gnn_lstm,sequence,2,102,103,8,16,val_macro_f1,max,0.4044345875862954,0.4928844176914657,0.9797711395877085,0.9555390885513152,0.9788624705968952,0.6349829281823139,0.9052863436123348,0.8788567482179315,0.8759348724250297,0.0884498301051703,0.0242320510363931,0.3438795424145812,-0.2438738200356175,0.0047094799324927,0.3485890223470739,True,False,False,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,improved_gnn_lstm,sequence,3,103,104,2,10,val_macro_f1,max,0.5334766556700465,0.5397672979944595,0.9375550799446052,0.9272980501392758,0.9349226821544776,0.7778956666394241,0.93701370878103,0.6264353525172653,0.9302970816238928,0.006290642324413,0.0102570298053294,0.1570270155150536,0.1514603141221587,0.0641288067395261,0.3726161363767385,True,False,True,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,improved_gnn_lstm,sequence,4,104,105,18,26,val_macro_f1,max,0.3512334102798719,0.5597105846073376,0.9961436706874132,0.9337591672581028,0.9962168107898112,0.9304754740711269,0.8963788300835654,0.7439911574988995,0.8993949818991525,0.2084771743274656,0.0623845034293104,0.0657413367186845,0.1864843165722272,0.014697187680571,0.2669228409714828,False,False,True,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,improved_gnn_lstm,sequence,5,105,106,11,19,val_macro_f1,max,0.3908537798882484,0.6226407583378344,0.9849634307000408,0.922640536358948,0.9850304058609938,0.8429103918315803,0.8963804116394606,0.8949776093585289,0.8979206617998315,0.231786978449586,0.0623228943410929,0.1421200140294134,-0.0520672175269485,0.0070045359384333,0.1491245499678467,False,False,False,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,improved_gnn_lstm,sequence,6,106,107,5,13,val_macro_f1,max,0.4403208252101789,0.4740425421300854,0.9675238600212088,0.9553769401330376,0.9668004219511338,0.8639678138364681,0.9012377514182568,0.8220924251850276,0.8300257256783339,0.0337217169199065,0.0121469198881712,0.1028326081146656,0.0418753886514405,0.0489009768559075,0.1936089736220138,False,False,False,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,improved_gnn_lstm,sequence,7,107,108,6,14,val_macro_f1,max,0.4281844182861779,0.7774498151683502,0.9695673483937084,0.8249323825915909,0.9698777883118684,0.8076506434031655,0.9611973392461196,0.8706352802848655,0.9449811998928872,0.3492653968821723,0.1446349658021176,0.1622271449087029,-0.0629846368816999,0.0395924732270231,0.2018196181357261,True,False,False,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,improved_gnn_lstm,sequence,8,108,109,4,12,val_macro_f1,max,0.4627319184705809,0.1898734269852049,0.9615977197442416,1.0,0.9603499563248196,0.0833333333333333,0.7054339808212442,0.6096172954622558,0.7008811054683091,-0.272858491485376,-0.0384022802557584,0.8770166229914862,-0.5262839621289225,0.0218676122931442,0.8988842352846304,True,False,False,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,improved_gnn_lstm,sequence,9,109,101,7,15,val_macro_f1,max,0.410784035904005,0.7096534214133015,0.9807302619002104,0.9034589571502324,0.9795512345765256,0.9019330963330604,0.5842696629213483,0.0614657210401891,0.5842696629213483,0.2988693855092964,0.077271304749978,0.0776181382434652,0.8404673752928713,0.0270456159145471,0.9451311294508836,False,False,True,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,improved_gnn_lstm_attn_adj,sequence,1,101,102,3,11,val_macro_f1,max,0.5069427545755626,0.6685170889834359,0.9528387038541384,0.8891336270190896,0.9495041871051924,0.8576738869420342,0.8644811564274651,0.8638180410294005,0.8679193766768548,0.1615743344078732,0.0637050768350488,0.0918303001631583,-0.0061441540873663,0.1841119590413716,0.2759422592045299,False,True,False,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
