epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.6997367195280397,0.596085930120175,0.7670467451051651,0.8517276946879835,0.7168240084715736,0.738078177111012
2,0.286113180961699,0.3729860689222059,0.9247262980965792,0.8989169675090253,0.9179524935410192,0.8282170828611708
3,0.2062527510796868,0.3750454433757789,0.9440784990687321,0.8904074265085096,0.9403162131162066,0.8198909515682015
4,0.18008708229750206,0.5644826259660473,0.9513469313587426,0.8666838576585869,0.94683760408375,0.7722174015883053
5,0.16656756884522209,0.3727503180183958,0.9542997319765593,0.9007220216606499,0.9512150299790672,0.8233440809413671
6,0.14792266209858873,0.3298873034833132,0.9603416163176305,0.8842186694172254,0.9576127702714095,0.8124658660250214
7,0.1330002211293222,0.3245158224426524,0.9615227365647572,0.906395048994327,0.9592458701057072,0.8270238483831353
8,0.1276052484753098,0.5329798746404616,0.9632944169354473,0.8803506962351728,0.9607510784011558,0.8122123737513016
9,0.123811845707895,0.6493735727446259,0.9646572479898242,0.8741619391438886,0.9623537757848433,0.7869473370468144
10,0.11647237854635437,0.5278567974597946,0.9671557715895153,0.887055183084064,0.965707029083191,0.8132745943130884
