Dataset,Model,Accuracy_Mean,Accuracy_SD,Accuracy_CI95_Lower,Accuracy_CI95_Upper,Macro_F1_Mean,Macro_F1_SD,Macro_F1_CI95_Lower,Macro_F1_CI95_Upper,Effect_Size,Wilcoxon_P_Value,Rank_Stability
pamap2,CNN1D,0.7450301836321517,0.1634530696015923,0.638240844825778,0.8518195224385253,0.6537188814514838,0.2516983415074132,0.48927596499997383,0.8181617979029938,4.048237279540203,0.00390625,rank1:9/9
pamap2,Flatten_LSTM,0.7597211751220193,0.10131394202278261,0.6935293996671347,0.825912950576904,0.6809686774125305,0.1472531969954137,0.5847632553755269,0.7771740994495342,6.676156919005447,0.00390625,rank1:4/9; rank2:5/9
pamap2,Improved_GNN_LSTM,0.729059549866129,0.2741699529372032,0.5499351806138228,0.9081839191184351,0.6756371444982044,0.2579053391461696,0.5071389895893736,0.8441352994070352,2.355204084412029,0.0078125,rank1:4/9; rank2:4/9; rank3:1/9
hhar,CNN1D,0.613111111111111,0.07502966820605773,0.5640917278831533,0.6621304943390688,0.5901571670611963,0.08212519219052475,0.5365020414967201,0.6438122926256724,5.950238027389,0.00390625,rank1:9/9
hhar,Flatten_LSTM,0.5284444444444445,0.07237249324002715,0.48116108219429343,0.5757278066945956,0.48062725216329927,0.07708114548472476,0.4302675704466124,0.5309869338799861,4.998829135119497,0.00390625,rank1:1/9; rank2:8/9
hhar,Improved_GNN_LSTM,0.5340000000000001,0.07758221445666526,0.4833129532216455,0.5846870467783548,0.45683438385638225,0.09246851632936039,0.39642161985453345,0.517247147858231,4.734761550160414,0.00390625,rank1:1/9; rank2:5/9; rank3:3/9
