"dataset","eval_protocol","model","eval_unit","fold","fold_subject","test_subject","validation_subject","n_train_windows","n_val_windows","n_test_windows","n_test_windows_raw","n_train_eval_samples","n_val_eval_samples","n_test_eval_samples","n_test_predictions","n_test_classes","total_params","trainable_params","non_trainable_params","parameter_size_mb_float32","accuracy","balanced_accuracy","macro_f1","weighted_f1","macro_precision","macro_recall","feature_set","window_type","task","sessions"
"pamap2","loso","cnn","window","1","101","101","102","22221","4095","3883","3883","22221","4095","3883","3883","12","302188","302188","0","1.1527557373046875","0.7630697913984033","0.7708378601411364","0.7559626985702725","0.7473764044941583","0.7795849881895481","0.7708378601411364","acc16_gyro","overlapping","protocol12","protocol"
"pamap2","loso","cnn","window","2","102","102","103","23396","2708","4095","4095","23396","2708","4095","4095","12","302188","302188","0","1.1527557373046875","0.7948717948717948","0.7826965341518427","0.7686712594710641","0.765988367975491","0.7731367188516006","0.7826965341518427","acc16_gyro","overlapping","protocol12","protocol"
"pamap2","loso","cnn","window","3","103","103","104","23892","3599","2708","2708","23892","3599","2708","2708","8","302188","302188","0","1.1527557373046875","0.8792466765140325","0.8612279078480776","0.5865291416392983","0.8856677702666387","0.6057680737654911","0.5741519385653852","acc16_gyro","overlapping","protocol12","protocol"
"pamap2","loso","cnn","window","4","104","104","105","22364","4236","3599","3599","22364","4236","3599","3599","10","302188","302188","0","1.1527557373046875","0.747429841622673","0.756620595629823","0.6030255838366564","0.7272963389461381","0.6246961823420412","0.6305171630248526","acc16_gyro","overlapping","protocol12","protocol"
"pamap2","loso","cnn","window","5","105","105","106","22076","3887","4236","4236","22076","3887","4236","4236","12","302188","302188","0","1.1527557373046875","0.8097261567516525","0.8181980789210613","0.819830508322117","0.8124067308358197","0.8375684118519695","0.8181980789210613","acc16_gyro","overlapping","protocol12","protocol"
"pamap2","loso","cnn","window","6","106","106","107","22695","3617","3887","3887","22695","3617","3887","3887","12","302188","302188","0","1.1527557373046875","0.8767687162335992","0.8012108333544466","0.7998160606404086","0.8800094153277177","0.8017147151328308","0.8012108333544466","acc16_gyro","overlapping","protocol12","protocol"
"pamap2","loso","cnn","window","7","107","107","108","22506","4076","3617","3617","22506","4076","3617","3617","11","302188","302188","0","1.1527557373046875","0.8490461708598286","0.7815405645247592","0.7321722956188066","0.8379834099930376","0.7823352128577145","0.7164121841476959","acc16_gyro","overlapping","protocol12","protocol"
"pamap2","loso","cnn","window","8","108","108","109","26025","98","4076","4076","26025","98","4076","4076","12","302188","302188","0","1.1527557373046875","0.3088812561334642","0.3211500397098202","0.23698950136269928","0.2566187001359888","0.2759633401972468","0.3211500397098202","acc16_gyro","overlapping","protocol12","protocol"
"pamap2","loso","cnn","window","9","109","109","101","26218","3883","98","98","26218","3883","98","98","1","302188","302188","0","1.1527557373046875","0.8061224489795918","0.8061224489795918","0.0743879472693032","0.8926553672316384","0.08333333333333333","0.06717687074829932","acc16_gyro","overlapping","protocol12","protocol"
