epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,1.381020753878338,2.108985424041748,0.5643419788664745,0.0,0.4727546245586183,0.0
2,0.6826988952933998,1.3174017667770386,0.8013064361191162,0.5306122448979592,0.7560641465585992,0.05777777777777778
3,0.5206305568339616,1.0485724210739136,0.8554851104707013,0.6530612244897959,0.8510013386595977,0.06584362139917695
4,0.4518505562599981,0.8563198447227478,0.8745437079731028,0.7142857142857143,0.8740795742913535,0.06944444444444445
5,0.41471958795267155,0.6666994690895081,0.8824591738712776,0.8061224489795918,0.8818887572184723,0.0743879472693032
6,0.3842623685874353,0.5424863696098328,0.8916042267050912,0.8469387755102041,0.892313148483142,0.07642725598526703
7,0.3685910053818874,0.6070124506950378,0.8946013448607109,0.826530612244898,0.8953792666269771,0.07541899441340782
8,0.3501694125916154,0.2711639702320099,0.9015177713736792,0.8979591836734694,0.9012869758728081,0.07885304659498209
9,0.32679685786867463,0.47642847895622253,0.9080499519692603,0.8571428571428571,0.9066723882185234,0.07692307692307693
10,0.3354304338967308,0.5034763813018799,0.9041306436119116,0.8367346938775511,0.9044513544604902,0.07592592592592592
11,0.31353363072036206,0.5472748279571533,0.9126609029779058,0.826530612244898,0.9123664442420975,0.07541899441340782
12,0.29434926032332936,0.5974199771881104,0.9172334293948127,0.7857142857142857,0.9159283764859326,0.07333333333333333
13,0.2822124380657698,0.4893355071544647,0.9216522574447646,0.8775510204081632,0.9196808645362604,0.07789855072463768
14,0.27693971960849195,0.33009740710258484,0.9236887608069164,0.8877551020408163,0.9221024950467277,0.07837837837837838
15,0.23753868109984083,0.5198643207550049,0.9337560038424592,0.8673469387755102,0.9328914489024517,0.07741347905282332
16,0.22882415171086387,0.400186151266098,0.9358693563880883,0.8775510204081632,0.9342582851274789,0.07789855072463768
