dataset,eval_protocol,model,subject,n_predictions,n_true_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,dominant_confusion
pamap2,loso,improved_gnn_lstm,109,89,1,0.8876404494382022,0.8876404494382022,0.07837301587301587,0.9404761904761905,0.08333333333333333,0.07397003745318352,24->5 (10)
pamap2,loso,improved_gnn_lstm,108,4067,12,0.6164248832062945,0.609622786041675,0.5347757608093867,0.5677206413336401,0.6425356683903994,0.609622786041675,2->3 (265)
pamap2,loso,improved_gnn_lstm,103,2699,8,0.9270100037050759,0.9193989413651178,0.6210468991663679,0.9316810089249766,0.6321940437254768,0.6129326275767452,3->2 (50)
pamap2,loso,improved_gnn_lstm,104,3590,10,0.822841225626741,0.8321692275530985,0.6776950005809929,0.8148610249039231,0.6959874121703687,0.6934743562942488,3->12 (143)
pamap2,loso,improved_gnn_lstm,102,4086,12,0.7887909936368086,0.8105564619557742,0.7878292262187062,0.7722861217879093,0.8737548308606428,0.8105564619557742,4->12 (449)
pamap2,loso,improved_gnn_lstm,101,3874,12,0.8306659783169851,0.8429485635018236,0.825261526589037,0.817067054427187,0.8595976870954685,0.8429485635018236,16->6 (166)
pamap2,loso,improved_gnn_lstm,107,3608,11,0.9326496674057649,0.9069501404849376,0.8446995866820588,0.9319523772011615,0.8661346994164921,0.8313709621111928,16->17 (51)
pamap2,loso,improved_gnn_lstm,106,3878,12,0.9528107271789582,0.8693213365601311,0.868625531797988,0.9525647003241765,0.8684336512416908,0.8693213365601311,3->2 (18)
pamap2,loso,improved_gnn_lstm,105,4227,12,0.8854979891175775,0.8821851774939325,0.8731525218831547,0.8875458343000623,0.873098126066504,0.8821851774939325,17->3 (70)
