dataset,model,eval_unit,fold,test_subject,validation_subject,best_epoch,last_epoch,early_stop_metric,early_stop_mode,train_loss_at_best,val_loss_at_best,train_acc_at_best,val_acc_at_best,train_macro_f1_at_best,val_macro_f1_at_best,test_acc,test_macro_f1,test_balanced_accuracy,train_val_loss_gap_at_best,train_val_acc_gap_at_best,train_val_macro_f1_gap_at_best,val_test_macro_f1_gap,val_macro_f1_drop_best_to_last,overfit_risk_score,overfit_flag_f1_gap_gt_0_15,overfit_flag_val_drop_gt_0_10,overfit_flag_val_test_gap_gt_0_15
pamap2,improved_gnn_lstm,sequence,1,101,102,3,11,val_macro_f1,max,0.19531103311995435,0.5598066687345509,0.944850618286849,0.8783651492902594,0.9402110279642831,0.866408055637739,0.8306659783169851,0.825261526589037,0.8429485635018236,0.3644956356145965,0.06648546899658958,0.07380297232654409,0.041146529048702085,0.2887266851578465,0.4036761865330927,False,True,False
pamap2,improved_gnn_lstm,sequence,2,102,103,8,16,val_macro_f1,max,0.12648035653415435,0.23916599016658865,0.962928041829169,0.9429418303075213,0.9595342330632975,0.628421409684298,0.7887909936368086,0.7878292262187062,0.8105564619557742,0.1126856336324343,0.0199862115216477,0.3311128233789995,-0.15940781653440816,0.003082790395724122,0.3341956137747236,True,False,False
pamap2,improved_gnn_lstm,sequence,3,103,104,4,12,val_macro_f1,max,0.19469751207335956,0.2671262689094347,0.944185656133283,0.9267409470752089,0.9405382589844412,0.7714237689343283,0.9270100037050759,0.6210468991663679,0.9193989413651178,0.07242875683607514,0.017444709058074048,0.16911449005011292,0.15037686976796039,0.14683984742004097,0.4663312072381143,True,True,True
pamap2,improved_gnn_lstm,sequence,4,104,105,9,17,val_macro_f1,max,0.09968293376270632,0.49758046334069106,0.9706739608089323,0.9030044949136503,0.9678894808335948,0.8976361884966612,0.822841225626741,0.6776950005809929,0.8321692275530985,0.39789752957798474,0.067669465895282,0.07025329233693367,0.2199411879156683,0.002162192896695947,0.2923566731492979,False,False,True
pamap2,improved_gnn_lstm,sequence,5,105,106,2,10,val_macro_f1,max,0.286113180961699,0.3729860689222059,0.9247262980965792,0.8989169675090253,0.9179524935410192,0.8282170828611708,0.8854979891175775,0.8731525218831547,0.8821851774939325,0.0868728879605069,0.02580933058755397,0.08973541067984836,-0.044935439021983936,0.014942488548082444,0.1046778992279308,False,False,False
pamap2,improved_gnn_lstm,sequence,6,106,107,18,26,val_macro_f1,max,0.06634215904451109,0.19016690323401347,0.9796747967479674,0.9614745011086474,0.9791832929210972,0.8697947267688546,0.9528107271789582,0.868625531797988,0.8693213365601311,0.12382474418950239,0.01820029563932002,0.10938856615224257,0.0011691949708666494,0.04950322852154765,0.16006098964465687,False,False,False
pamap2,improved_gnn_lstm,sequence,7,107,108,2,10,val_macro_f1,max,0.3098242672131469,1.3097145987914123,0.9156529875685069,0.6466683058765675,0.9147557216475478,0.5658964324598518,0.9326496674057649,0.8446995866820588,0.9069501404849376,0.9998903315782655,0.26898468169193934,0.34885928918769604,-0.27880315422220703,0.1262004153961886,0.47505970458388463,True,True,False
pamap2,improved_gnn_lstm,sequence,8,108,109,3,11,val_macro_f1,max,0.209201314072379,0.21696664811520094,0.941183267853016,0.9325842696629213,0.9389026431497024,0.08042635658914729,0.6164248832062945,0.5347757608093867,0.609622786041675,0.007765334042821953,0.008598998190094687,0.8584762865605551,-0.4543494042202394,0.0031171196413561225,0.8615934062019112,True,False,False
pamap2,improved_gnn_lstm,sequence,9,109,101,2,10,val_macro_f1,max,0.2668121253104129,0.4078948852665257,0.9270120435863124,0.8843572534847702,0.918736357684355,0.8893425463916844,0.8876404494382022,0.07837301587301587,0.8876404494382022,0.1410827599561128,0.04265479010154216,0.029393811292670602,0.8109695305186686,0.04440057640099193,0.8847639182123311,False,False,True
