result_set,feature_set,window_type,protocol,family,model,activity_group,support,recall
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,random_forest,posture,861,0.9616724738675958
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,random_forest,stairs,346,0.9219653179190751
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,knn_k5,household,6446,0.853552590753956
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,knn_k5,jump,762,0.7624671916010499
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,knn_k5,locomotion,10734,0.9520216135643749
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,knn_k5,posture,8835,0.9309564233163554
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,knn_k5,stairs,3422,0.8275862068965517
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,random_forest,household,6446,0.9260006205398696
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,random_forest,jump,762,0.884514435695538
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,random_forest,locomotion,10734,0.9455934414011552
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,random_forest,posture,8835,0.9265421618562535
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,random_forest,stairs,3422,0.891291642314436
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,knn_k5,household,1268,0.9219242902208202
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,knn_k5,jump,161,0.9192546583850931
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,knn_k5,locomotion,2145,0.9636363636363636
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,knn_k5,posture,1790,0.9698324022346368
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,knn_k5,stairs,676,0.886094674556213
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,random_forest,household,1268,0.9802839116719243
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,random_forest,jump,161,0.968944099378882
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,random_forest,locomotion,2145,0.9808857808857809
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,random_forest,posture,1790,0.9731843575418995
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,random_forest,stairs,676,0.9526627218934911
