result_set,feature_set,window_type,family,model,test_subject,n_test_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,103,8.0,0.9299740644683216,0.9267432161663504,0.6209244396168776,0.9314575131647906
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,104,10.0,0.9317548746518106,0.9303396749803898,0.7752564539537525,0.9325129506724348
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,105,12.0,0.9079725573692926,0.9106892032163164,0.9100434676029656,0.908977003576877
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,106,12.0,0.9167096441464672,0.8406053552823387,0.8375798242153593,0.9163210585098004
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,107,11.0,0.9578713968957872,0.942317359161078,0.8659898142412622,0.958384693406722
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,108,12.0,0.7046963363658717,0.7400578000726732,0.7177220962139385,0.6902321556655582
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,109,1.0,0.9775280898876404,0.9775280898876404,0.0823863636363636,0.9886363636363636
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,101,12.0,0.8913267940113577,0.8935461639493255,0.8990617542984789,0.89371072278298
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,102,12.0,0.8788546255506607,0.8736657373191915,0.8691868299643618,0.8762047698796204
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,103,8.0,0.8918117821415339,0.8915571097864328,0.5967264097769615,0.8936459561306618
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,104,10.0,0.9434540389972144,0.94182379169744,0.7868631385601489,0.944272754645344
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,105,12.0,0.9188549798911758,0.9144726578237096,0.9189253507815563,0.9196332401564756
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,106,12.0,0.890149561629706,0.8176832190403974,0.8159209844836056,0.8905348475536569
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,107,11.0,0.9675720620842572,0.9465499005804596,0.8780658031420164,0.9673049089453156
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,108,12.0,0.6016719940988443,0.6002506233795282,0.5077731126045331,0.5608569125128835
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,109,1.0,0.6404494382022472,0.6404494382022472,0.0650684931506849,0.7808219178082192
