result_set,feature_set,window_type,protocol,family,model,ece,mean_confidence,accuracy,macro_f1,status
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,knn_k5,0.0610863853034353,0.8732476543054181,0.8121612690019828,0.8180670039391695,ok
canonical_protocol_only,acc16_gyro,non_overlapping,loso,baseline,random_forest,0.14796673276051991,0.7320068296981713,0.8799735624586913,0.883528831940887,ok
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,knn_k5,0.03245478243132764,0.9089856657807203,0.8959021810971579,0.8987788702238194,ok
canonical_protocol_only,acc16_gyro,non_overlapping,random_holdout,baseline,random_forest,0.06500440625688472,0.8628695747962105,0.9276272306675479,0.9283088899774915,ok
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,knn_k5,0.06360005848787417,0.8818390730247794,0.8182390145369052,0.8233229753496407,ok
canonical_protocol_only,acc16_gyro,overlapping,loso,baseline,random_forest,0.1436657946731128,0.7386813029128999,0.8823470975860128,0.8862879673561005,ok
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,knn_k5,0.032125295271866486,0.9235418575574714,0.9120860927152318,0.9118891649221713,ok
canonical_protocol_only,acc16_gyro,overlapping,random_holdout,baseline,random_forest,0.054183774834437204,0.8891937086092715,0.9433774834437086,0.9422228719235727,ok
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,knn_k5,0.057954306177025905,0.8784894325635044,0.8208195637805684,0.8270680754499945,ok
canonical_protocol_only,acc16_gyro_hr,non_overlapping,loso,baseline,random_forest,0.14812954395241237,0.7308283762943381,0.87871777924653,0.8795129261127869,ok
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,knn_k5,0.027593029883080655,0.9139332063672345,0.8945803040317251,0.8975597057802843,ok
canonical_protocol_only,acc16_gyro_hr,non_overlapping,random_holdout,baseline,random_forest,0.06571271205111257,0.8734236615994713,0.9385327164573695,0.9357958684274328,ok
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,knn_k5,0.05988157959590564,0.8879008041113662,0.8280737772773933,0.8339330814898723,ok
canonical_protocol_only,acc16_gyro_hr,overlapping,loso,baseline,random_forest,0.14047617470777174,0.7398291334150137,0.8801284810755323,0.8815293401735472,ok
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,knn_k5,0.0329250864465666,0.9274412198323653,0.9190397350993378,0.9215820697553411,ok
canonical_protocol_only,acc16_gyro_hr,overlapping,random_holdout,baseline,random_forest,0.059859271523178825,0.901983995584989,0.9615894039735099,0.9615914145782466,ok
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,knn_k5,0.056769495353905894,0.8774639236690259,0.8208195637805684,0.8192363008593118,ok
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,random_forest,0.13403238598810305,0.7228189028420356,0.8558493060145407,0.8528331997350421,ok
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,knn_k5,0.033296864649943345,0.922052833410441,0.9101123595505618,0.9096319932060616,ok
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,random_forest,0.07236505838290379,0.8783509583608725,0.9487772637144746,0.9478857199216016,ok
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,knn_k5,0.06384733999973216,0.8868878380294682,0.8230404980297361,0.8221990226076247,ok
