result_set,feature_set,window_type,family,model,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std
canonical_protocol_only,acc16_gyro,non_overlapping,baseline,knn_k5,9,0.7816826543633881,0.09935229450932001,0.6848631215759113,0.24369218491002093,0.8204308243347848,0.0741490146969334
canonical_protocol_only,acc16_gyro,non_overlapping,baseline,random_forest,9,0.8778440330210997,0.024558180662287765,0.7794735387070428,0.19505273830025494,0.8757349182574194,0.05716627738291828
canonical_protocol_only,acc16_gyro,overlapping,baseline,knn_k5,9,0.7894896808016028,0.09470520245342634,0.6757129652052312,0.2443113175003306,0.8270411288291901,0.07174740345996351
canonical_protocol_only,acc16_gyro,overlapping,baseline,random_forest,9,0.8789305029457198,0.025989256572360838,0.7681823750707454,0.23373277303191023,0.8786304961228287,0.055585781852512416
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,knn_k5,9,0.7831154008376393,0.12093201791476331,0.6788714610299824,0.24557316849230545,0.8291438979567162,0.0690387125651928
canonical_protocol_only,acc16_gyro_hr,non_overlapping,baseline,random_forest,9,0.8811105219105211,0.03870841378187497,0.7460867012599296,0.21933139241986466,0.8806707098719783,0.05967127740340571
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,9,0.7964853026557553,0.10320977661097278,0.6857895114722181,0.2416204682052649,0.8363069417367156,0.06662038056222187
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,9,0.8798976852058268,0.04264008854564145,0.7445422586717971,0.21306954414659401,0.8821788748792447,0.06047643156032792
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,9,0.8067661122105908,0.04683031479225401,0.6791225766784137,0.2222185265943795,0.8221594678013214,0.06802714112477692
canonical_protocol_only,acc16_hr,non_overlapping,baseline,random_forest,9,0.8541210736356588,0.053728581005767086,0.7144225064888571,0.2199546061851066,0.8587633588462155,0.07419011117191547
canonical_protocol_only,acc16_hr,overlapping,baseline,knn_k5,9,0.8054282801537032,0.05878216414387493,0.6788538664535241,0.23064060893250277,0.8258314888889304,0.06759217265167258
canonical_protocol_only,acc16_hr,overlapping,baseline,random_forest,9,0.8508481406965014,0.05912989478747315,0.7194442190145944,0.21863967283011101,0.8575853513236897,0.07811406857874471
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,9,0.854752090571982,0.1098460666134351,0.7101374848920535,0.2686169392099797,0.8483842192280626,0.10795157368476706
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,9,0.7640285083948005,0.29952679993175274,0.679177171613784,0.2813135226712814,0.7587177605203324,0.2973948210018359
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,9,0.8922270049335508,0.08257399713678855,0.7184690361809059,0.2535112002604163,0.8826230047700139,0.07422360989942191
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,9,0.8471272529563331,0.13167313866716152,0.7041768751958164,0.2782683050791581,0.8355554046420813,0.12823137823392805
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,9,0.8329956125357796,0.18261944156233723,0.7083928517651181,0.272518507204751,0.8227597278061315,0.179752998834719
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_res,9,0.7695309313017075,0.3018841665246676,0.6841480653811135,0.2836022448309021,0.7660828321978269,0.30319985664355953
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,9,0.8921557601765875,0.07757674625533642,0.7087539891491289,0.2533965492671548,0.8812603787507608,0.07731407884136522
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_res,9,0.8926854373908095,0.07290693738920398,0.7158119659884216,0.25198983469417496,0.8846891141327954,0.07429562486492455
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,9,0.8615781344507044,0.12863501554583784,0.6830380540981144,0.2659791195322487,0.8703422554091311,0.12077649341186387
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_res,9,0.8555010105060425,0.135732160104306,0.6728913212958001,0.2675785062030064,0.8544865271267919,0.12305593729165966
canonical_protocol_only_v3,acc16_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,9,0.8571450071260782,0.10886564375911853,0.682535518047602,0.24443288162061363,0.8556963002639879,0.09060164844548013
canonical_protocol_only_v3,acc16_hr,overlapping,deep,improved_gnn_lstm_res,9,0.8319904139298104,0.16019170276853067,0.6588873545416865,0.26964031290051554,0.8244186996589639,0.15091711824143303
