dataset,feature_set,window_type,window_size,stride,protocol,model_family,model,fold,test_subject,seed,n_samples,total_sec,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
pamap2,acc16_gyro_hr,non_overlapping,128,128,loso,baselines,random_forest,aggregate,aggregate,42,15130,,0.87871777924653,0.8749848512329049,0.8795129261127869,0.8792926364619889,0.8850276588861372,0.8749848512329049
pamap2,acc16_gyro_hr,non_overlapping,128,128,loso,baselines,knn_k5,aggregate,aggregate,42,15130,,0.8208195637805684,0.812126033538778,0.8270680754499945,0.82168479584093,0.8571642371848847,0.812126033538778
