epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.6437406160790778,1.3620254438456167,0.8259770737431176,0.6852667645619187,0.7879338139516041,0.6799035953937299
2,0.2596880581575588,1.7122531699839973,0.9296416644101453,0.6886930983847284,0.9215924279186014,0.678588769164291
3,0.20911220365097746,0.7722910229687415,0.9439028793212384,0.8076358296622613,0.9382865279244275,0.7977699788149973
4,0.17519183649231526,0.879855737758402,0.9516201823269248,0.7660303475281449,0.9482944849103792,0.7492221054232671
5,0.1572385855057425,2.5932489631807396,0.9573066161205885,0.5479686735193343,0.9535550735016146,0.4806848563148059
6,0.14184176409940705,0.8743475740884873,0.9606913981406264,0.7772883015173764,0.957583750103629,0.7575708071429745
7,0.140900136503634,2.432745209615632,0.9595180070403466,0.6576113558492414,0.9558184014970558,0.6194001233848221
8,0.12786287550827646,1.453654065325321,0.9644823540030689,0.7028879099363681,0.9626264125193541,0.6867311673060076
9,0.12260013407812306,2.1983747269198792,0.9650690495532088,0.6213901125795399,0.961579800612188,0.5838981208029161
10,0.09073189942158055,1.4116987805333245,0.9745464392093149,0.733235438081253,0.9729065955445081,0.7107132725467692
11,0.08175361034069394,2.14511051670878,0.9764419171405362,0.6686245717082722,0.9739053380473419,0.5989257218935393
