Dataset,Subject,Calibration_Percentage,Fine_Tuning_Strategy,Model,Uncalibrated_Accuracy,Calibrated_Accuracy,Accuracy_Improvement,Uncalibrated_Macro_F1,Calibrated_Macro_F1,Macro_F1_Improvement
pamap2,101,1.00,full_model,Flatten_LSTM,85.49,83.33,-2.16,85.38,82.23,-3.14
pamap2,101,5.00,classifier_head_only,Flatten_LSTM,85.49,86.41,0.92,85.38,86.36,0.99
pamap2,101,5.00,full_model,Flatten_LSTM,85.49,89.67,4.18,85.38,90.42,5.05
pamap2,101,10.00,classifier_head_only,Flatten_LSTM,85.49,86.21,0.71,85.38,85.50,0.12
pamap2,101,10.00,full_model,Flatten_LSTM,85.49,88.51,3.01,85.38,86.88,1.50
pamap2,102,0.00,N/A,Flatten_LSTM,76.47,76.47,0.00,67.89,67.89,0.00
pamap2,102,1.00,classifier_head_only,Flatten_LSTM,76.47,76.73,0.26,67.89,68.65,0.76
pamap2,102,1.00,full_model,Flatten_LSTM,76.47,79.70,3.23,67.89,74.02,6.13
pamap2,102,5.00,classifier_head_only,Flatten_LSTM,76.47,77.84,1.36,67.89,68.55,0.66
pamap2,102,5.00,full_model,Flatten_LSTM,76.47,81.44,4.97,67.89,74.74,6.84
pamap2,102,10.00,classifier_head_only,Flatten_LSTM,76.47,79.35,2.88,67.89,69.32,1.43
pamap2,102,10.00,full_model,Flatten_LSTM,76.47,82.61,6.14,67.89,76.24,8.34
pamap2,103,0.00,N/A,Flatten_LSTM,77.04,77.04,0.00,61.74,61.74,0.00
pamap2,103,1.00,classifier_head_only,Flatten_LSTM,77.04,77.61,0.57,61.74,62.16,0.42
pamap2,103,1.00,full_model,Flatten_LSTM,77.04,79.85,2.81,61.74,80.36,18.62
pamap2,103,5.00,classifier_head_only,Flatten_LSTM,77.04,78.29,1.26,61.74,69.53,7.79
pamap2,103,5.00,full_model,Flatten_LSTM,77.04,58.91,-18.12,61.74,47.92,-13.82
pamap2,103,10.00,classifier_head_only,Flatten_LSTM,77.04,78.69,1.65,61.74,70.07,8.33
pamap2,103,10.00,full_model,Flatten_LSTM,77.04,53.28,-23.76,61.74,48.60,-13.15
pamap2,104,0.00,N/A,Flatten_LSTM,80.45,80.45,0.00,69.07,69.07,0.00
pamap2,104,1.00,classifier_head_only,Flatten_LSTM,80.45,80.34,-0.11,69.07,68.97,-0.11
pamap2,104,1.00,full_model,Flatten_LSTM,80.45,78.09,-2.36,69.07,69.42,0.34
pamap2,104,5.00,classifier_head_only,Flatten_LSTM,80.45,81.29,0.84,69.07,76.58,7.51
pamap2,104,5.00,full_model,Flatten_LSTM,80.45,80.70,0.25,69.07,74.53,5.45
pamap2,104,10.00,classifier_head_only,Flatten_LSTM,80.45,82.72,2.27,69.07,70.63,1.55
pamap2,104,10.00,full_model,Flatten_LSTM,80.45,90.12,9.68,69.07,81.54,12.47
pamap2,105,0.00,N/A,Flatten_LSTM,78.67,78.67,0.00,77.65,77.65,0.00
pamap2,105,1.00,classifier_head_only,Flatten_LSTM,78.67,77.99,-0.68,77.65,76.97,-0.68
pamap2,105,1.00,full_model,Flatten_LSTM,78.67,66.99,-11.69,77.65,68.38,-9.28
pamap2,105,5.00,classifier_head_only,Flatten_LSTM,78.67,80.60,1.92,77.65,80.25,2.60
pamap2,105,5.00,full_model,Flatten_LSTM,78.67,86.57,7.89,77.65,85.97,8.32
pamap2,105,10.00,classifier_head_only,Flatten_LSTM,78.67,80.53,1.85,77.65,79.52,1.86
pamap2,105,10.00,full_model,Flatten_LSTM,78.67,89.47,10.80,77.65,88.58,10.92
pamap2,106,0.00,N/A,Flatten_LSTM,79.27,79.27,0.00,75.05,75.05,0.00
pamap2,106,1.00,classifier_head_only,Flatten_LSTM,79.27,77.60,-1.67,75.05,71.92,-3.13
pamap2,106,1.00,full_model,Flatten_LSTM,79.27,45.31,-33.96,75.05,39.95,-35.10
