Dataset,Perturbation,Severity,Model,Clean_Accuracy,Perturbed_Accuracy,Accuracy_Drop,Clean_Macro_F1,Perturbed_Macro_F1,Macro_F1_Drop,Most_Affected_Class
hhar,remove_one_sensor_node,high,CNN1D,61.31,52.47,8.84,60.67,50.29,10.38,walk
hhar,remove_heart_rate_channel,low,CNN1D,61.31,N/A,N/A,60.67,N/A,N/A,N/A
hhar,remove_heart_rate_channel,medium,CNN1D,61.31,N/A,N/A,60.67,N/A,N/A,N/A
hhar,remove_heart_rate_channel,high,CNN1D,61.31,N/A,N/A,60.67,N/A,N/A,N/A
hhar,gaussian_noise,low,CNN1D,61.31,58.22,3.09,60.67,56.97,3.70,stand
hhar,gaussian_noise,medium,CNN1D,61.31,55.18,6.13,60.67,54.61,6.06,stairsup
hhar,gaussian_noise,high,CNN1D,61.31,52.98,8.33,60.67,51.62,9.05,stand
hhar,mask_random_channels,low,CNN1D,61.31,52.47,8.84,60.67,50.29,10.38,walk
hhar,mask_random_channels,medium,CNN1D,61.31,52.47,8.84,60.67,50.29,10.38,walk
hhar,mask_random_channels,high,CNN1D,61.31,52.47,8.84,60.67,50.29,10.38,walk
hhar,remove_random_windows,low,CNN1D,61.31,11.28,50.03,60.67,10.87,49.80,sit
hhar,remove_random_windows,medium,CNN1D,61.31,16.33,44.98,60.67,16.09,44.58,sit
hhar,remove_random_windows,high,CNN1D,61.31,19.35,41.96,60.67,18.41,42.26,stairsup
hhar,missing_heart_rate_signals,low,CNN1D,61.31,N/A,N/A,60.67,N/A,N/A,N/A
hhar,missing_heart_rate_signals,medium,CNN1D,61.31,N/A,N/A,60.67,N/A,N/A,N/A
hhar,missing_heart_rate_signals,high,CNN1D,61.31,N/A,N/A,60.67,N/A,N/A,N/A
hhar,remove_one_sensor_node,low,Flatten_LSTM,52.84,45.51,7.33,50.02,41.77,8.26,stairsup
hhar,remove_one_sensor_node,medium,Flatten_LSTM,52.84,45.51,7.33,50.02,41.77,8.26,stairsup
hhar,remove_one_sensor_node,high,Flatten_LSTM,52.84,45.51,7.33,50.02,41.77,8.26,stairsup
hhar,remove_heart_rate_channel,low,Flatten_LSTM,52.84,N/A,N/A,50.02,N/A,N/A,N/A
hhar,remove_heart_rate_channel,medium,Flatten_LSTM,52.84,N/A,N/A,50.02,N/A,N/A,N/A
hhar,remove_heart_rate_channel,high,Flatten_LSTM,52.84,N/A,N/A,50.02,N/A,N/A,N/A
hhar,gaussian_noise,low,Flatten_LSTM,52.84,54.07,-1.22,50.02,50.84,-0.82,stand
hhar,gaussian_noise,medium,Flatten_LSTM,52.84,53.24,-0.40,50.02,51.38,-1.35,bike
hhar,gaussian_noise,high,Flatten_LSTM,52.84,49.44,3.40,50.02,47.31,2.72,bike
hhar,mask_random_channels,low,Flatten_LSTM,52.84,45.51,7.33,50.02,41.77,8.26,stairsup
hhar,mask_random_channels,medium,Flatten_LSTM,52.84,45.51,7.33,50.02,41.77,8.26,stairsup
hhar,mask_random_channels,high,Flatten_LSTM,52.84,45.51,7.33,50.02,41.77,8.26,stairsup
hhar,remove_random_windows,low,Flatten_LSTM,52.84,15.85,36.99,50.02,15.57,34.46,sit
hhar,remove_random_windows,medium,Flatten_LSTM,52.84,16.47,36.38,50.02,15.27,34.75,bike
hhar,remove_random_windows,high,Flatten_LSTM,52.84,17.41,35.43,50.02,16.68,33.35,stairsup
hhar,missing_heart_rate_signals,low,Flatten_LSTM,52.84,N/A,N/A,50.02,N/A,N/A,N/A
hhar,missing_heart_rate_signals,medium,Flatten_LSTM,52.84,N/A,N/A,50.02,N/A,N/A,N/A
hhar,missing_heart_rate_signals,high,Flatten_LSTM,52.84,N/A,N/A,50.02,N/A,N/A,N/A
hhar,remove_one_sensor_node,low,Improved_GNN_LSTM,53.40,47.93,5.47,50.89,43.57,7.32,stairsup
hhar,remove_one_sensor_node,medium,Improved_GNN_LSTM,53.40,47.93,5.47,50.89,43.57,7.32,stairsup
hhar,remove_one_sensor_node,high,Improved_GNN_LSTM,53.40,47.93,5.47,50.89,43.57,7.32,stairsup
hhar,remove_heart_rate_channel,low,Improved_GNN_LSTM,53.40,N/A,N/A,50.89,N/A,N/A,N/A
hhar,remove_heart_rate_channel,medium,Improved_GNN_LSTM,53.40,N/A,N/A,50.89,N/A,N/A,N/A
hhar,remove_heart_rate_channel,high,Improved_GNN_LSTM,53.40,N/A,N/A,50.89,N/A,N/A,N/A
hhar,gaussian_noise,low,Improved_GNN_LSTM,53.40,52.42,0.98,50.89,49.83,1.05,walk
hhar,gaussian_noise,medium,Improved_GNN_LSTM,53.40,50.00,3.40,50.89,45.72,5.16,stand
hhar,gaussian_noise,high,Improved_GNN_LSTM,53.40,48.71,4.69,50.89,46.11,4.77,stairsdown
hhar,mask_random_channels,low,Improved_GNN_LSTM,53.40,47.93,5.47,50.89,43.57,7.32,stairsup
hhar,mask_random_channels,medium,Improved_GNN_LSTM,53.40,47.93,5.47,50.89,43.57,7.32,stairsup
hhar,mask_random_channels,high,Improved_GNN_LSTM,53.40,47.93,5.47,50.89,43.57,7.32,stairsup
hhar,remove_random_windows,low,Improved_GNN_LSTM,53.40,12.37,41.03,50.89,10.28,40.60,sit
hhar,remove_random_windows,medium,Improved_GNN_LSTM,53.40,15.32,38.08,50.89,14.93,35.95,bike
hhar,remove_random_windows,high,Improved_GNN_LSTM,53.40,16.17,37.23,50.89,14.57,36.31,stairsup
hhar,missing_heart_rate_signals,low,Improved_GNN_LSTM,53.40,N/A,N/A,50.89,N/A,N/A,N/A
hhar,missing_heart_rate_signals,medium,Improved_GNN_LSTM,53.40,N/A,N/A,50.89,N/A,N/A,N/A
hhar,missing_heart_rate_signals,high,Improved_GNN_LSTM,53.40,N/A,N/A,50.89,N/A,N/A,N/A
