epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,0.5559458532374846,0.5011172564768831,0.826870809929335,0.860818111654232,0.8125039300820017,0.7781405652994439
2,0.29973567931261974,0.49246291336661563,0.9117140786374344,0.8422948289169025,0.9092266126399021,0.7685216296776535
3,0.24897311443456555,0.5383606792672005,0.9256205834390288,0.8219706714689993,0.9240768331291326,0.7450037459236992
4,0.22136849077483584,0.7276059254963055,0.9320982061967747,0.8070491381528171,0.9294566509323988,0.7273932431257463
5,0.20177455042465417,0.5588123787473007,0.9362656278311289,0.8505273990223823,0.9345760977520771,0.7739888137319797
6,0.18704001339293191,0.6312428803673059,0.9409313281391557,0.8070491381528171,0.9392984157592871,0.7155999359216851
7,0.1725220582065731,0.45469007958890667,0.9450987497735097,0.8757396449704142,0.9433870647184937,0.800623007097641
8,0.16266480607236614,0.6869399587675021,0.9467747780394999,0.8132235657319269,0.9452922518138615,0.7411539586723642
9,0.148355631519215,0.543537677908938,0.9519387570211995,0.8587599691278621,0.9507508134243845,0.7802743320724886
10,0.14484632936999686,0.5705183173533226,0.9524370356948723,0.8479547208644198,0.9498215695806399,0.7701974436875512
11,0.1321374760047317,0.6012146853248327,0.9567403515129552,0.8209416002058143,0.9544760732483023,0.743908385339919
12,0.12170553729032602,0.6104054841033708,0.9586428700851604,0.8325186519166452,0.956444253596031,0.7558122985889789
13,0.12117591814491861,0.7985579137420565,0.9600018119224497,0.7970156933367636,0.9585100089946516,0.7036482587526006
14,0.09062669358028409,0.7603248181511284,0.9682460590686719,0.8165680473372781,0.9667159242861953,0.7310898825052479
15,0.07657069575043557,0.9540062912461039,0.97445189345896,0.7694880370465654,0.9739119308535358,0.6900648649812336
